,,1-2021 Product Mix Report
Poscode,Product Name,Category,Quantity,UPT,Net Sales,
1,TOY 1,,36886,68.11,0.00,
2,TOY 2,,223,0.41,0.00,
3,TOY 3,,83,0.15,0.00,
4,TOY 4,,50,0.09,0.00,
5,TOY 5,,39,0.07,0.00,
6,TOY 6,,29,0.05,0.00,
7,TOY 7,,23,0.04,0.00,
8,TOY 8,,21,0.04,0.00,
9,TOY 9,,13,0.02,0.00,
10,TOY 10,,16,0.03,0.00,
201,BOOK 1 - The Twins Follow A Polar Bear,,266,0.49,0.00,
202,BOOK 2 - The Twins Meet A Quagga,,104,0.19,0.00,
203,BOOK 3 - The Twins Help A Pink Dolphin,,253,0.47,0.00,
204,BOOK 4 - The Twins Discover A Dodo,,103,0.19,0.00,
1109,**UP MED COKE 16oz (HM),UPGRADE,102,0.19,975.00,
1110,**UP MED SPRITE 16oz (HM),UPGRADE,18,0.03,182.14,
1111,**UP MED C ZERO 16oz (HM),UPGRADE,25,0.05,257.14,
1114,**ITEA UP 12oz (HM),REGULARS,1787,3.3,0.00,
1193,ITEA UP 16oz (HM),UPSIZE,80,0.15,1196.43,
1194,OJ UP 16oz (HM),UPSIZE,340,0.63,5160.70,
1198,UP REG CFLOAT (HM),UPSIZE,1468,2.71,24357.20,
1218,**HASHBROWN ALC,BREAKFAST BA,21810,40.27,389098.44,
1220,**2PC HCAKE+SSG ALC,BREAKFAST ALC,4245,7.84,236816.31,
1223,**PLAIN MCMUFF,BREAKFAST ALC,18,0.03,455.36,
1229,**LONGGA W/ RICE ALC,BREAKFAST ALC,18,0.03,1172.32,
1230,**XTRA GARLIC RICE,EXTRA,510,0.94,8700.00,
1231,**CHBRGR ALC,BURGER ALC,54540,100.71,1696445.30,
1232,**DBL CHBRGR ALC,BURGER ALC,10380,19.17,797976.21,
1233,**QTR PNDR W/CHIZ ALC,BURGER ALC,9257,17.09,957388.75,
1234,**BIGMAC ALC,BURGER ALC,8183,15.11,848916.77,
1236,**MCCHIX ALC,BURGER ALC,9773,18.05,781191.74,
1242,**MEDIUM FRIES ALC,FRIES,45488,84,1737224.56,
1243,**XTRA PLAIN RICE,EXTRA,14380,26.55,204759.56,
1248,**XTRA BUTTER,EXTRA,384,0.71,2250.01,
1249,**REG COKE (12oz),BEVERAGES,817,1.51,20609.51,
1250,**MED COKE (16oz),BEVERAGES,865,1.6,26358.92,
1251,**LRG COKE (22oz),BEVERAGES,1105,2.04,48628.61,
1255,**REG SPRITE (12oz),BEVERAGES,159,0.29,5329.47,
1256,**MED SPRITE (16oz),BEVERAGES,249,0.46,8026.78,
1257,**LRG SPRITE (22oz),BEVERAGES,259,0.48,12342.87,
1258,**MED ITEA (16oz),BEVERAGES,285,0.53,12363.40,
1261,**CHBRGR EVM,BURGER EVM,9370,17.3,430781.25,
1265,**BIGMAC EVM,BURGER EVM,1332,2.46,155187.50,
1269,**2PC HCAKE EVM,BREAKFAST EVM,4199,7.75,180226.65,
1270,**2PC HCAKE+SSG EVM,BREAKFAST EVM,1497,2.76,112651.80,
1274,**LONGGA W/ RICE EVM,BREAKFAST EVM,191,0.35,15700.00,
1277,**MCCHIX EVM,BURGER EVM,1357,2.51,137443.14,
1278,**DBL CHBRGR EVM,BURGER EVM,1704,3.15,158172.00,
1279,**QTR PNDR EVM,BURGER EVM,1601,2.96,190957.00,
1282,**2PC HCAKE ALC,BREAKFAST ALC,20876,38.55,571127.33,
1283,**MED OJ (16oz),BEVERAGES,512,0.95,22166.97,
1285,**HOT CHOCO,BEVERAGES,382,0.71,7701.28,
1314,**PJ UP 12oz (HM),REGULARS,2117,3.91,0.00,
1315,PJ UP 16oz (HM),UPSIZE,58,0.11,946.43,
1317,PJ UP 16oz B-EVM,UPSIZE,270,0.5,4214.28,
1318,**MED PJ (16oz),BEVERAGES,371,0.69,15631.25,
1324,REG FRY,,22749,42.01,0.00,
1325,MED FRY,,114325,211.1,0.00,
1327,**OJ 12oz (HM),REGULARS,23915,44.16,0.00,
1431,REG SPRITE (HM),,1171,2.16,0.00,
1434,UP LRG SPRITE (HM),UPSIZE,26,0.05,379.47,
1440,REG SPRITE B-EVM,,560,1.03,0.00,
1443,UP LRG SPRITE B-EVM,UPSIZE,85,0.16,1168.75,
1462,REG COKE (HM),,5704,10.53,0.00,
1463,UP LRG COKE (HM),UPSIZE,169,0.31,2337.50,
1465,**UP LRG COKE EVM,UPSIZE,840,1.55,10093.77,
1488,**CHBRGR DLUXE EVM,BURGER EVM,1366,2.52,99254.98,
1492,REG ZERO B-EVM,,696,1.29,0.00,
1493,UP LRG ZERO B-EVM,UPSIZE,232,0.43,3293.76,
1496,REG ZERO EVM,,1,0,0.00,
1498,REG ZERO (HM),,1319,2.44,0.00,
1499,UP LRG ZERO (HM),UPSIZE,88,0.16,1199.11,
1507,**REG ZERO (12oz),BEVERAGES,126,0.23,3734.82,
1508,**MED ZERO (16oz),BEVERAGES,264,0.49,8596.43,
1509,**LRG ZERO (22oz),BEVERAGES,399,0.74,18685.73,
1520,**APPLE PIE,EVRDY MCSAVERS,46616,86.08,891616.36,
1538,**1PC CHIX MCDO EVM,CHICKEN EVM,4431,8.18,154962.50,
1539,**1PC CHIX+SPAG EVM,CHICKEN EVM,2909,5.37,183885.36,
1540,**2PC CHIX MCDO EVM,CHICKEN EVM,2355,4.35,239237.50,
1545,**6PC MCNUG ALC,CHICKEN ALC,21093,38.95,2082925.39,
1546,**10PC MCNUG W/ 2SAUC ALC,CHICKEN ALC,16102,29.73,2632199.59,
1547,**1PC CHIX MCDO W/ RICE ALC,CHICKEN ALC,40536,74.85,1695174.47,
