,,4-2020 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
005,DAU,168,77014.14,61494.92,
008,QUEZON AVE,26,17249.71,14553.58,
009,GREENBELT,484,273568.86,225060.81,
013,AURORA BLVD.,183,88179.55,72198.39,
014,ALABANG,1030,706795.18,594284.89,
018,MCS,682,333393.90,274315.42,
025,LA SALLE TAFT,760,436315.33,361860.21,
026,COMMONWEALTH,56,31034.81,25684.81,
028,LAS PINAS,1257,616712.12,516627.16,
029,KATIPUNAN,420,227167.91,190575.78,
030,SAN FERNANDO DOLORES,253,143209.72,117433.74,
032,E.RODRIGUEZ,67,43851.48,37226.75,
034,GOVERNOR FORBES,409,193974.63,159545.46,
035,TARLAC ROMULO,506,273322.57,223295.07,
037,MARCOS HIGHWAY,435,203554.14,168039.37,
040,RETIRO,313,167024.78,141390.85,
044,CDO LIMKETKAI,86,32791.57,25629.93,
048,CEBU JONES,233,101086.58,80456.57,
050,DAVAO BAJADA,119,46467.28,36631.42,
060,MARKET SQUARE DAGUPAN,11,6159.86,5143.74,
063,ANONAS,339,158065.69,133908.85,
072,PHILCOA,56,23555.92,19121.25,
075,CABANATUAN,170,91629.42,75014.45,
077,BALIUAG,197,115857.51,95808.20,
087,CAVITE FELIPE,316,144593.10,118978.95,
092,SAN PEDRO,943,511767.20,424939.63,
094,TARLAC HI-WAY,382,206058.99,168781.91,
101,SUMULONG,118,61297.99,52589.32,
108,ANGELES,25,11405.00,9105.02,
116,METROLANE,64,46791.23,39673.19,
117,VALENZUELA SOUTH,226,118405.99,99556.08,
119,MINDANAO AVENUE,298,149517.03,124397.14,
128,GUADALUPE MALL,886,382137.22,308602.11,
129,BOCAUE,61,33096.00,26893.57,
131,C & B MARIKINA,539,234168.85,192837.37,
140,JP RIZAL,484,219664.07,179747.22,
144,VISAYAS AVENUE,105,50014.47,41516.08,
146,CAPAS TARLAC,367,221743.18,182691.68,
149,SAN JOAQUIN,272,137658.49,113277.13,
150,CARMEN,177,120570.14,100083.60,
158,STA CRUZ CHURCH,37,32103.13,27306.24,
172,KABIHASNAN,728,369995.19,304158.51,
174,WEST AVENUE,62,31981.47,27195.50,
178,PACO,154,75849.79,62910.73,
187,EDSA ROTONDA,84,37465.30,30252.65,
190,BARANGKA,2146,1008103.84,822547.95,
193,MATALINO,455,244110.27,205381.46,
194,LUCENA QA,120,62205.34,50946.63,
195,PROJECT 8,357,158997.53,133448.04,
200,TOMAS MORATO,303,164652.35,137688.78,
201,DAVAO ILUSTRE,138,69701.00,56587.01,
203,TANZA,479,245250.79,199893.66,
209,MUNOZ,200,116031.03,96401.18,
211,CABUYAO,450,276365.95,228568.60,
218,EDSA PANAY,327,172962.43,142645.61,
220,LAOAG,89,45370.00,36702.80,
221,KINGSWOOD,308,172775.81,142731.75,
225,P CAMPA,323,157621.05,129812.63,
226,AIRPORT ROAD,202,121143.90,100451.33,
228,BUENDIA,604,350491.76,288027.49,
229,REGALADO,252,120629.29,98250.11,
230,PRC STA.ANA,816,373562.71,307065.17,
233,QA BANAWE,27,10362.29,8256.23,
235,GEN. TRIAS,706,418493.34,344902.67,
237,NORTH AVENUE,173,108489.22,91066.44,
239,MASINAG,284,154437.63,130614.23,
249,MCU,187,89751.01,73013.37,
264,QUIRINO TAFT,130,78132.78,65230.82,
