,,1-2018 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
003,GREENHILLS,377,139312.69,113106.22,
007,UN AVENUE,1,1451.00,1259.82,
008,QUEZON AVE,453,159838.48,130813.47,
009,GREENBELT,521,207896.72,168073.99,
010,ROXAS BOULEVARD BACLARAN,200,83747.41,68302.65,
013,AURORA BLVD.,104,33551.30,26924.14,
014,ALABANG,359,150480.40,122766.99,
018,MCS,649,265962.00,216146.44,
025,LA SALLE TAFT,1282,426538.00,338457.18,
026,COMMONWEALTH,384,138892.52,113960.73,
028,LAS PINAS,622,205073.79,165900.78,
029,KATIPUNAN,418,160298.01,130582.18,
030,SAN FERNANDO DOLORES,89,34460.86,28110.70,
032,E.RODRIGUEZ,530,209061.31,171068.73,
034,GOVERNOR FORBES,596,204155.82,163591.08,
035,TARLAC ROMULO,202,80399.72,65048.13,
037,MARCOS HIGHWAY,326,117570.05,97225.90,
038,BACOLOD LACSON,202,100299.93,82872.33,
039,BINAN,132,41099.58,32545.51,
040,RETIRO,519,195669.01,161292.79,
048,CEBU JONES,501,163814.57,129101.75,
050,DAVAO BAJADA,413,146454.71,116265.12,
061,ANTIPOLO,544,199775.88,161421.31,
063,ANONAS,515,174658.00,142233.94,
072,PHILCOA,330,108584.44,87229.54,
075,CABANATUAN,43,11945.86,9154.51,
092,SAN PEDRO,382,140905.20,114972.33,
101,SUMULONG,515,169477.76,137824.94,
106,CDO DIVISORIA,1,1801.00,1572.32,
116,METROLANE,407,148573.42,121192.02,
117,VALENZUELA SOUTH,13,4917.29,4009.83,
119,MINDANAO AVENUE,829,282758.81,230396.47,
128,GUADALUPE MALL,405,150779.52,121758.92,
129,BOCAUE,77,29633.14,24207.12,
131,C & B MARIKINA,376,124917.21,101704.50,
138,GEN LUNA,380,136406.94,109558.88,
140,JP RIZAL,519,179682.31,144169.67,
144,VISAYAS AVENUE,338,116934.32,95335.76,
149,SAN JOAQUIN,355,115056.25,92437.43,
164,MUNTINLUPA,598,222679.50,180748.14,
169,PATEROS BAYAN,547,181516.97,144808.04,
172,KABIHASNAN,578,202455.17,161803.56,
174,WEST AVENUE,303,118728.95,96323.61,
178,PACO,539,182862.98,147650.02,
181,RFC MOLINO,321,114842.43,92000.95,
187,EDSA ROTONDA,425,163667.43,132306.22,
190,BARANGKA,1344,459599.31,371132.17,
193,MATALINO,487,205408.29,167864.29,
195,PROJECT 8,592,210237.92,171270.50,
200,TOMAS MORATO,367,143790.86,117587.54,
201,DAVAO ILUSTRE,357,140924.44,113209.87,
206,MAKATI AVE,608,218956.41,174709.83,
209,MUNOZ,393,173983.05,143299.03,
215,PEDRO GIL,3,871.00,670.53,
216,TIERRA PURA,568,226768.73,185320.60,
218,EDSA PANAY,281,98256.57,78382.17,
221,KINGSWOOD,437,155960.58,126603.58,
222,TIMES PERPETUAL,387,125882.60,101431.24,
