,,,003-GREENHILLS 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SAN JUAN CITY,ADDITION HILLS,ADDITION HILLS BARANGAY HALL,,1,268.00,30,
MANDALUYONG CITY,ADDITION HILLS,SENIOR CITIZENS COMMUNITY CENTER,,1,511.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,1ST ALFABETO ST,,1,558.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,1ST ALFABETO ST,,1,436.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,1ST ALFABETO ST,,1,273.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,1ST AVENUE,,1,354.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,1ST AVENUE,,1,164.71,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,1ST WEST CRAME,,1,600.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,2ND AVENUE,,1,236.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,3RD AVENUE,,1,977.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,3RD WEST CRAME,,1,331.71,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,B/GEN SANTOS,BAGONG LIPUNAN NG CRAME BARANGAY HALL,1,367.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,528.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,648.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,471.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,1315.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,675.00,30,
