,,,005-DAU 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MABALACAT,AMSIC,DON JUICO AVENUE,,1,387.00,30,
MABALACAT,AMSIC,DON JUICO AVENUE,,1,335.00,30,
MABALACAT,AMSIC,DON JUICO AVENUE,,1,231.00,30,
MABALACAT,AMSIC,DON JUICO AVENUE,,1,159.00,30,
ANGELES CITY,BALIBAGO,5TH STREET,,1,494.00,30,
ANGELES CITY,BALIBAGO,ANDREW STREET,,1,214.00,30,
ANGELES CITY,BALIBAGO,ANDREW STREET,,1,707.71,30,
ANGELES CITY,BALIBAGO,ANDREW STREET,,1,521.00,30,
ANGELES CITY,BALIBAGO,BALIBAGO BARANGAY HALL,,1,290.00,30,
ANGELES CITY,BALIBAGO,BALIBAGO BARANGAY HALL,,1,290.00,30,
ANGELES CITY,BALIBAGO,BALIBAGO BARANGAY HALL,,1,290.00,30,
ANGELES CITY,BALIBAGO,BALIBAGO BARANGAY HALL,,1,293.00,30,
ANGELES CITY,BALIBAGO,BALIBAGO HOTEL,,1,553.00,30,
ANGELES CITY,BALIBAGO,BERTHA STREET,,1,647.00,30,
ANGELES CITY,BALIBAGO,BERTHA STREET,,1,851.00,30,
ANGELES CITY,BALIBAGO,BERTHA STREET,,1,449.00,30,
ANGELES CITY,BALIBAGO,COPENHAGEN STREET,,1,408.00,30,
ANGELES CITY,BALIBAGO,COPENHAGEN STREET,,1,434.00,30,
ANGELES CITY,BALIBAGO,COPENHAGEN STREET,,1,407.00,30,
ANGELES CITY,BALIBAGO,COPENHAGEN STREET,,1,267.00,30,
ANGELES CITY,BALIBAGO,DON ANICETO GUECO AVENUE,,1,234.00,30,
ANGELES CITY,BALIBAGO,DON ANICETO GUECO AVENUE,,1,228.00,30,
ANGELES CITY,BALIBAGO,DON ANICETO GUECO AVENUE,,1,386.00,30,
ANGELES CITY,BALIBAGO,DON ANICETO GUECO AVENUE,,1,352.00,30,
ANGELES CITY,BALIBAGO,DON BONIFACIO SUBDIVISION,,1,614.00,30,
ANGELES CITY,BALIBAGO,DON ELEUTERIO,,1,586.00,30,
ANGELES CITY,BALIBAGO,DON FIDEL,,1,197.00,30,
ANGELES CITY,BALIBAGO,DON FIDEL,,1,549.00,30,
ANGELES CITY,BALIBAGO,DON FIDEL,,1,581.00,30,
ANGELES CITY,BALIBAGO,DON JOSEFA,,1,412.00,30,
ANGELES CITY,BALIBAGO,DONA CARMEN,,1,442.00,30,
ANGELES CITY,BALIBAGO,DONA ISABEL,,1,525.00,30,
ANGELES CITY,BALIBAGO,DONA ISABEL,,1,605.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,282.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,483.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,245.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,1024.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,208.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,452.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,393.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,359.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,394.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,226.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,206.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,212.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,335.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,474.00,30,
ANGELES CITY,BALIBAGO,FLYING V BALIBAGO PAMPANGA,,1,245.00,30,
