,,,013-AURORA BLVD. 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,405.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,454.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,235.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,202.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,563.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,572.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,231.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,251.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,BAGONG LIPUNAN NG CRAME BARANGAY HALL,,1,1783.00,60,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,CAMP PANOPIO,,1,410.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,CAMP PANOPIO,,1,564.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,PEDRO TUAZON,,1,666.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,PLANAS SITE I,,1,439.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,PLANAS SITE I,,1,550.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,PLANAS SITE I,,1,499.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,PLANAS SITE I,,1,296.00,30,
QUEZON CITY,BAGUMBAYAN,MDC 100,,1,267.00,30,
QUEZON CITY,BAGUMBAYAN,PHOENIX SUN BUSINESS PARK,,1,203.00,30,
QUEZON CITY,BAHAY TORO,VILLA SOCCORO,,1,244.00,30,
QUEZON CITY,BAHAY TORO,VILLA SOCCORO,,1,404.00,30,
QUEZON CITY,BAHAY TORO,WINTER,,1,427.00,30,
MANILA CITY,BARANGAY 218,LAONG NASA STREET,,1,665.00,30,
QUEZON CITY,BATASAN HILLS,MOUNT RAINIER,,1,205.00,30,
QUEZON CITY,CAMP AGUINALDO,MRT 3-SANTOLAN ANNAPOLIS STATION,,1,245.00,30,
QUEZON CITY,CAMP AGUINALDO,MRT 3-SANTOLAN ANNAPOLIS STATION,,1,202.00,30,
QUEZON CITY,CAMP AGUINALDO,MRT 3-SANTOLAN ANNAPOLIS STATION,,1,175.00,30,
QUEZON CITY,CAMP AGUINALDO,MRT 3-SANTOLAN ANNAPOLIS STATION,,1,283.00,30,
QUEZON CITY,DONA AURORA,AURORA A. QUEZON ELEMENTARY SCHOOL,,1,204.00,30,
