,,,014-ALABANG 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MUNTINLUPA CITY,ALABANG,ASIAN HOSPITAL & MEDICAL CENTER,,1,282.00,30,
MUNTINLUPA CITY,ALABANG,CORDOVA,,1,258.00,30,
MUNTINLUPA CITY,ALABANG,CORDOVA,AYALA ALABANG VILLAGE,1,320.43,30,
MUNTINLUPA CITY,ALABANG,CORPORATE AVENUE,,1,462.18,30,
MUNTINLUPA CITY,ALABANG,FILINVEST BRIGDE,,1,231.00,30,
MUNTINLUPA CITY,ALABANG,FILINVEST CORPORATE CITY,,1,605.00,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,242.00,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,380.00,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,525.00,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,405.42,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,543.00,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,786.00,30,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),SAN JOSE VILLAGE,1,511.00,30,
MUNTINLUPA CITY,ALABANG,MUNTINLUPA CITY FIRE AND RESCUE,,1,169.00,30,
MUNTINLUPA CITY,ALABANG,MUNTINLUPA CITY TRAFFIC HEADQUARTER,,1,238.00,30,
MUNTINLUPA CITY,ALABANG,MUNTINLUPA CITY TRAFFIC HEADQUARTER,,1,675.00,30,
MUNTINLUPA CITY,ALABANG,NISSAN WESTGATE ALABANG,,1,203.00,30,
MUNTINLUPA CITY,ALABANG,NISSAN WESTGATE ALABANG,,1,608.57,30,
MUNTINLUPA CITY,ALABANG,PUBLIC MARKET ALONG ILAYA,,1,236.00,30,
MUNTINLUPA CITY,ALABANG,T. MOLINA (STARMALL ALABANG),,1,167.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,243.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,406.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,198.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,186.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,170.43,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,400.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,352.00,30,
