,,,030-SAN FERNANDO DOLORES 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SAN FERNANDO CITY,BULAON,BULAON ROTONDA,,1,1088.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,241.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,479.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,217.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,665.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,238.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,694.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,434.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,636.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,304.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN ELEMENTARY SCHOOL,,1,250.00,30,
BACOLOR,CABETICAN,DESTINY LODGE,,1,332.00,30,
SAN FERNANDO CITY,CALZADANG BAYU,PUROK 6 BRGY. LARA,,1,704.00,30,
SAN FERNANDO CITY,CALZADANG BAYU,PUROK 6 BRGY. LARA,,1,250.00,30,
SAN FERNANDO CITY,CALZADANG BAYU,TAKASHIMA PLACE,,1,620.00,30,
SAN FERNANDO CITY,CUTCUT,MACARTHUR HIGHWAY,,1,519.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,236.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,709.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,411.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,582.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,353.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,447.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,353.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,353.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,424.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,853.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,283.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,424.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,353.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,327.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,514.00,30,
SAN FERNANDO CITY,DEL CARMEN,PUEBLO DE ORO - PARK PLACE,,1,518.00,30,
SAN FERNANDO CITY,DEL CARMEN,STA. TERESITA DRIVE,,1,739.00,30,
SAN FERNANDO CITY,DEL CARMEN,STA. TERESITA DRIVE,,1,394.00,30,
SAN FERNANDO CITY,DEL PILAR,SAN FERNANDO CITY PLANNING, ENGINNERING, & MOTOR,UNISITE SUBDIVISION DEL PILAR,1,424.00,30,
SAN FERNANDO CITY,DEL PILAR,TENEJERO DEL PILAR,,1,403.00,30,
SAN FERNANDO CITY,DEL PILAR,TENEJERO DEL PILAR,DEL PILAR ELEMENTARY SCHOOL,1,225.43,30,
SAN FERNANDO CITY,DEL PILAR,UNISITE SUBDIVISION DEL PILAR,UNISITE SUBDIVISION DEL PILAR,1,270.14,30,
SAN FERNANDO CITY,DEL PILAR,UNISITE SUBDIVISION DEL PILAR,UNISITE SUBDIVISION DEL PILAR,1,217.57,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,118.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,379.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,392.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,388.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,658.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,1489.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,253.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,610.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,440.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,371.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,487.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,451.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,949.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,418.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,245.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,394.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,660.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,777.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,907.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,815.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,497.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,307.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,199.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,570.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,782.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,211.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,189.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,1644.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,248.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,612.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,W AND A DRUG STORE AND GENERAL MERCHANDISE,,1,640.00,30,
SAN FERNANDO CITY,DOLORES,ASCORP PARKING,,1,2310.00,60,
SAN FERNANDO CITY,DOLORES,B. MENDOZA,,1,773.00,30,
SAN FERNANDO CITY,DOLORES,BAKE N BREW CAFE BRANCH,,1,2454.00,30,
SAN FERNANDO CITY,DOLORES,DOLORES HEIGHTS SUBDIVISION,,1,813.00,30,
SAN FERNANDO CITY,DOLORES,DONA CONSOLACION EXTENSION,,1,487.00,30,
SAN FERNANDO CITY,DOLORES,DONA CONSOLACION EXTENSION,,1,351.00,30,
SAN FERNANDO CITY,DOLORES,DONA CONSOLACION EXTENSION,,1,160.00,30,
SAN FERNANDO CITY,DOLORES,JOSE ABAD SANTOS AVENUE,,1,617.00,30,
BACOLOR,DOLORES,LIRIO DE LAS VALLES STREET,,1,421.00,30,
SAN FERNANDO CITY,DOLORES,MC ARTHUR HOTEL,,1,608.00,30,
SAN FERNANDO CITY,DOLORES,MC ARTHUR HOTEL,,1,1457.00,30,
SAN FERNANDO CITY,DOLORES,MC ARTHUR HOTEL,,1,419.00,30,
SAN FERNANDO CITY,DOLORES,MCDONALDS,,1,192.00,30,
BACOLOR,DOLORES,NORFOLK DRIVE,,1,220.00,30,
BACOLOR,DOLORES,PARTRIDGE PLACE,,1,572.00,30,
SAN FERNANDO CITY,DOLORES,PARTRIDGE PLACE,,1,323.00,30,
BACOLOR,DOLORES,PARTRIDGE PLACE,,1,572.00,30,
SAN FERNANDO CITY,DOLORES,PARTRIDGE PLACE,,1,221.00,30,
BACOLOR,DOLORES,PARTRIDGE PLACE,,1,766.00,30,
SAN FERNANDO CITY,DOLORES,PARTRIDGE PLACE,,1,391.00,30,
SAN FERNANDO CITY,DOLORES,PESO,,1,936.00,30,
SAN FERNANDO CITY,DOLORES,PRINTING PRESS,,1,217.00,30,
SAN FERNANDO CITY,DOLORES,ROAD LOT 2,,1,607.00,30,
SAN FERNANDO CITY,DOLORES,ROAD LOT 2,,1,274.00,30,
SAN FERNANDO CITY,DOLORES,ROAD LOT 2,,1,534.00,30,
SAN FERNANDO CITY,DOLORES,SAFER RICAN BLDG.,,1,306.14,30,
SAN FERNANDO CITY,DOLORES,SAINT JUDE STREET,,1,245.71,30,
