,,,101-SUMULONG 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MARIKINA CITY,BARANGAY 118,FLOOR CENTER,TOYOTA MARIKINA,1,179.00,30,
MARIKINA CITY,BARANGAY 13,CALOOCAN CITY RESCUE UNIT,,1,431.71,30,
MARIKINA CITY,BARANGAY 13,CALOOCAN CITY RESCUE UNIT,,1,205.86,30,
MARIKINA CITY,BARANGKA,ATENEO DE MANILA GRADE SCHOOL COMPLEX,,1,405.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,261.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,391.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,335.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,477.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,302.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,413.71,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,312.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,280.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,404.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,312.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,,1,391.00,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,ATENEO EMPLOYEES HOUSING PROJECT,1,275.29,30,
MARIKINA CITY,BARANGKA,ATENEO EMPLOYEES HOUSING PROJECT,ATENEO EMPLOYEES HOUSING PROJECT,1,694.71,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,199.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,171.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,251.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,410.37,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,422.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,306.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,840.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,570.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,395.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,473.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,796.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,469.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,458.71,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,303.86,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,232.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,179.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,666.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,194.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,181.86,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,414.43,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,220.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,403.29,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,412.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,691.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,,1,514.00,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,SAN JOSE MANGGAGAWA PARISH,1,349.71,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,SAN JOSE MANGGAGAWA PARISH,1,747.29,30,
MARIKINA CITY,BARANGKA,BARANGKA BARANGAY HALL,SAN JOSE MANGGAGAWA PARISH,1,408.14,30,
MARIKINA CITY,BARANGKA,BARANGKA CREDIT COOPERATIVE,,1,501.00,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,251.00,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,458.00,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,685.00,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,350.00,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,243.29,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,838.00,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,,1,243.29,30,
MARIKINA CITY,BARANGKA,BARANGKA MUNICIPAL CEMETERY,BARANGKA CEMETERY,1,184.00,30,
MARIKINA CITY,BARANGKA,BARANGKA TALYER AND FITNESS CENTER,,1,169.00,30,
MARIKINA CITY,BARANGKA,BARANGKA TALYER AND FITNESS CENTER,,1,745.00,30,
MARIKINA CITY,BARANGKA,BARANGKA TALYER AND FITNESS CENTER,,1,728.00,30,
MARIKINA CITY,BARANGKA,BARANGKA TALYER AND FITNESS CENTER,,1,299.00,30,
MARIKINA CITY,BARANGKA,BARANGKA TALYER AND FITNESS CENTER,,1,506.00,30,
MARIKINA CITY,BARANGKA,BERCHMAN,,1,697.00,30,
MARIKINA CITY,BARANGKA,BERCHMAN,,1,475.00,30,
MARIKINA CITY,BARANGKA,BERCHMAN,,1,437.00,30,
MARIKINA CITY,BARANGKA,DE LA COSTA HOUSING,,1,181.86,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,166.14,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,339.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,422.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,414.66,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,442.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,402.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,194.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,509.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,534.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,440.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,411.29,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,415.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,133.29,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,399.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,156.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,407.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,184.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,217.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,159.71,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,442.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,440.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,185.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,270.43,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,830.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,676.14,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,353.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,315.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,259.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,439.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,923.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,282.57,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,407.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,557.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,133.29,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,404.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,551.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,,1,252.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,619.66,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,400.00,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,507.66,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,243.29,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,358.29,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,426.14,30,
MARIKINA CITY,BARANGKA,DELA COSTA COVERED COURT,DELA COSTA COVERED COURT,1,448.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,264.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,221.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,189.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,226.14,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,221.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,503.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,196.14,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,499.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,228.29,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,324.71,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,221.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,249.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,276.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,194.71,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,311.14,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,262.57,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,285.43,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,254.71,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,499.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,346.00,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,228.29,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,335.43,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,,1,228.29,30,
MARIKINA CITY,BARANGKA,DON GONZALO PUYAT,BARANGKA CEMETERY,1,744.00,30,
MARIKINA CITY,BARANGKA,GEN. JULIAN CRUZ,,1,499.00,30,
MARIKINA CITY,BARANGKA,GEN. JULIAN CRUZ,,1,984.00,30,
MARIKINA CITY,BARANGKA,GEN. JULIAN CRUZ,,1,335.00,30,
MARIKINA CITY,BARANGKA,GEN. JULIAN CRUZ,,1,277.00,30,
MARIKINA CITY,BARANGKA,GEN. JULIAN CRUZ,,1,584.00,30,
