,,,119-MINDANAO AVENUE 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,178.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,559.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,162.00,60,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,524.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,236.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,578.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,430.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,429.71,30,
QUEZON CITY,BAGBAG,BIGLANG AWA,,1,303.00,30,
QUEZON CITY,BAGBAG,FAITH CHRISTIAN ACADEMY OF NOVALICHES,,1,709.86,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,232.00,60,
QUEZON CITY,BAGBAG,GOODWILL ELEMENTARY SCHOOL,,1,345.00,30,
QUEZON CITY,BAGBAG,GOODWILL ELEMENTARY SCHOOL,,1,296.00,30,
QUEZON CITY,BAGBAG,GOODWILL ELEMENTARY SCHOOL,,1,476.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,639.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,380.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,399.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,647.57,60,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,GOODWILL HOMES 2,1,644.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,GOODWILL HOMES 2,1,202.57,30,
QUEZON CITY,BAGBAG,GRAND MONACO HOMES II,,1,408.00,30,
QUEZON CITY,BAGBAG,GRAND MONACO HOMES II,,1,426.00,30,
QUEZON CITY,BAGBAG,JEM PERFORMANCE AND FABRICATION,,1,451.47,30,
QUEZON CITY,BAGBAG,KING ALEXANDER,,1,377.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,330.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,200.00,60,
QUEZON CITY,BAGBAG,KINGS POINT,,1,1220.00,60,
QUEZON CITY,BAGBAG,KINGS POINT,,1,477.14,30,
QUEZON CITY,BAGBAG,KINGSPOINT EXPRESS & LOGISTIC,BAGBAG CEMETERY,1,1964.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,433.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,257.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,187.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,658.57,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,344.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,421.00,60,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,288.00,30,
