,,,131-C & B MARIKINA 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MARIKINA CITY,ADDITION HILLS,ADDITION HILL BROOKESIDE,LA MILAGROSA VILLAGE,1,566.14,30,
MARIKINA CITY,ADDITION HILLS,FORTUNE HILL BY FILINVEST,,1,188.29,30,
MARIKINA CITY,ADDITION HILLS,FORTUNE HILL BY FILINVEST,,1,226.14,30,
MARIKINA CITY,ADDITION HILLS,SOLAR GARD PHILIPPINES CORPORATION,,1,1320.00,45,
MARIKINA CITY,ALMANZA UNO,DON GREGORIO,,1,492.00,30,
MARIKINA CITY,AYALA ALABANG,AYALA ALABANG NEIGHBORHOOD CENTER,,1,511.00,30,
MARIKINA CITY,BARANGAY 102,CENTURY IRON WORKS INCORPORATED,RANCHO ESTATE,1,192.57,30,
MARIKINA CITY,BARANGAY 103,TWIN C COMMERCIAL CORPORATION,TWIN RIVERS SUBDIVISION,1,862.00,30,
MARIKINA CITY,BARANGAY 118,FLOOR CENTER,,1,408.57,30,
MARIKINA CITY,BARANGAY 119,LA MEDALLA MILAGROSA CHAPEL,LA MILAGROSA VILLAGE,1,513.00,30,
MARIKINA CITY,BARANGAY 13,CALOOCAN CITY RESCUE UNIT,MARIKINA HEIGHTS DAY CARE CENTER,1,409.86,30,
MARIKINA CITY,BARANGAY 13,LA CONSOLACION SCHOOL,,1,298.00,30,
MARIKINA CITY,BARANGAY 132,GENERAL TINIO,,1,1177.00,30,
MARIKINA CITY,BARANGAY 136,BALINTAWAK ESTATE SUBDIVISION,,1,201.00,30,
MARIKINA CITY,BARANGAY 136,BALINTAWAK ESTATE SUBDIVISION,,1,766.00,30,
MARIKINA CITY,BARANGAY 142,BALAGTAS,,1,434.71,30,
MARIKINA CITY,BARANGAY 161,LIBIS BAESA EXIT,,1,242.00,30,
MARIKINA CITY,BARANGAY 162,CAMIA AVENUE,,1,497.00,30,
MARIKINA CITY,BARANGAY 162,SATURN,,1,424.71,30,
MARIKINA CITY,BARANGAY 163,BARTOLOME COMPOUND,,1,468.94,30,
MARIKINA CITY,BARANGAY 166,PALM DRIVE,,1,399.00,30,
MARIKINA CITY,BARANGAY 169,GARDENIA,PARANG BARANGAY HALL,1,665.71,30,
MARIKINA CITY,BARANGAY 169,GARDENIA,PARANG BARANGAY HALL,1,760.71,30,
CALOOCAN CITY,BARANGAY 173,CAMARIN BRGY. ELEM./HIGH SCHOOL,,1,262.57,30,
MARIKINA CITY,BARANGAY 175,OUR LADY OF PEACE,,1,570.00,30,
MARIKINA CITY,BARANGAY 177,CHAMPACA,,1,176.86,30,
MARIKINA CITY,BARANGAY 178,N. H. A. TALA ESTATE SITES AND SERVICES PROJECT,RANCHO ESTATE,1,301.00,30,
MARIKINA CITY,BARANGAY 185,BRGY 186,RANCHO ESTATE,1,161.86,30,
MARIKINA CITY,BARANGAY 185,BRGY 186,RANCHO ESTATE,1,182.57,30,
MARIKINA CITY,BARANGAY 185,BRGY 186,RANCHO ESTATE,1,182.57,30,
MARIKINA CITY,BARANGAY 220,HEC SY CAR ACCESSORIES,,1,520.00,30,
MARIKINA CITY,BARANGAY 28,BLOCK NO. 7,,1,423.00,30,
MARIKINA CITY,BARANGAY 31,MARIKINA,,1,461.00,30,
MARIKINA CITY,BARANGAY 35,MARIKINA,,1,375.86,30,
MARIKINA CITY,BARANGAY 35,MARIKINA,,1,595.57,30,
MARIKINA CITY,BARANGAY 363,IPIL STREET,,1,169.00,30,
MARIKINA CITY,BARANGAY 4,BRGY. BISIG NG NAYON BARANGAY HALL,,1,378.29,30,
MARIKINA CITY,BARANGAY 4,BRGY. BISIG NG NAYON BARANGAY HALL,,1,204.00,30,
MARIKINA CITY,BARANGAY 80,CONCEPCION,,1,809.29,30,
MARIKINA CITY,BARANGAY 823,CASA IVORY,SSS VILLAGE 3,1,405.43,30,
MARIKINA CITY,BARANGAY 823,CASA IVORY,SSS VILLAGE 3,1,234.00,30,
MARIKINA CITY,BARANGAY 823,CASA IVORY,SSS VILLAGE 3,1,767.00,30,
MARIKINA CITY,BARANGAY 83,LORETO,LA MILAGROSA VILLAGE,1,877.14,30,
MARIKINA CITY,BARANGAY 83,LORETO,LA MILAGROSA VILLAGE,1,421.71,30,
MARIKINA CITY,BARANGKA,CHILD HORIZON CHRISTIAN SCHOOL,,1,268.00,30,
MARIKINA CITY,BARANGKA,PARKING LOT,,1,421.00,30,
MARIKINA CITY,BARANGKA,PARKING LOT,,1,295.00,30,
MARIKINA CITY,BARANGKA,PARKING LOT,,1,200.00,30,
MARIKINA CITY,BARANGKA,PARKING LOT,,1,225.00,30,
MARIKINA CITY,BARANGKA,PARKING LOT,,1,516.00,30,
MARIKINA CITY,BARANGKA,ST. DOMINIC,,1,499.00,30,
MARIKINA CITY,BARANGKA,ST. DOMINIC,,1,505.00,30,
MARIKINA CITY,BARANGKA,ST. DOMINIC,,1,468.00,30,
MARIKINA CITY,BARANGKA,ST. DOMINIC,,1,649.00,30,
MARIKINA CITY,COMEMBO,NARRA STREET,MARIKINA - EASTERN POLICE DISTRICT STATION,1,389.86,30,
MARIKINA CITY,CONCEPCION,CONCEPCION BARANGAY HALL,HACIENDA HEIGHTS,1,175.43,30,
MARIKINA CITY,CONCEPCION 1,ARIANE ROAD,,1,421.57,30,
MARIKINA CITY,CONCEPCION 1,BAYAN-BAYANAN,,1,402.14,30,
