City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,334.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,361.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,362.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,623.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,569.00,30,
LAS PINAS CITY,ALMANZA DOS,ALMANZA DOS BARANGAY HALL,,1,633.00,30,
LAS PINAS CITY,ALMANZA DOS,ASTER,,1,432.00,30,
LAS PINAS CITY,ALMANZA DOS,BF HOMES ALMANZA BASKETBALL COURT,,1,224.00,30,
LAS PINAS CITY,ALMANZA DOS,CAMIA,,1,400.14,30,
LAS PINAS CITY,ALMANZA DOS,GLADIOLA,,1,534.00,30,
LAS PINAS CITY,ALMANZA DOS,LOTUS,,1,289.00,30,
LAS PINAS CITY,ALMANZA DOS,LOTUS,,1,1103.00,30,
LAS PINAS CITY,ALMANZA DOS,LOTUS,,1,352.00,30,
MUNTINLUPA CITY,AYALA ALABANG,ALABANG TOWN CENTER CORPORATE CENTER,,1,209.00,30,
MUNTINLUPA CITY,AYALA ALABANG,ALABANG TOWN CENTER CORPORATE CENTER,,1,165.00,30,
MUNTINLUPA CITY,AYALA ALABANG,ALPAP II,,1,463.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AVIDA TOWERS ALABANG,,1,297.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AVIDA TOWERS ALABANG,,1,410.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG NEIGHBORHOOD CENTER,,1,499.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG SUB-STATION,,1,400.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,339.57,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,407.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,375.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,314.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,375.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,410.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,403.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,419.29,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,244.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,503.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,840.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,661.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,,1,465.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,AYALA ALABANG VILLAGE,1,400.43,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,AYALA ALABANG VILLAGE,1,177.00,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,AYALA ALABANG VILLAGE,1,435.29,30,
MUNTINLUPA CITY,AYALA ALABANG,AYALA ALABANG VILLAGE,AYALA ALABANG VILLAGE,1,226.14,30,
MUNTINLUPA CITY,AYALA ALABANG,BOHOL,,1,170.43,30,
MUNTINLUPA CITY,AYALA ALABANG,BURI,,1,398.00,30,
MUNTINLUPA CITY,AYALA ALABANG,CALIRAYA,,1,874.00,30,
MUNTINLUPA CITY,AYALA ALABANG,CALIRAYA,AYALA ALABANG VILLAGE,1,409.00,30,
MUNTINLUPA CITY,AYALA ALABANG,COMMON GOAL TOWER,,1,307.00,30,
MUNTINLUPA CITY,AYALA ALABANG,DON MANOLO DRIVE,,1,523.00,30,
MUNTINLUPA CITY,AYALA ALABANG,LIPA,,1,214.00,30,
MUNTINLUPA CITY,AYALA ALABANG,LUZON DRIVE,,1,297.57,30,
MUNTINLUPA CITY,AYALA ALABANG,MADRIGAL BUSINESS PARK,,1,502.00,30,
MUNTINLUPA CITY,AYALA ALABANG,MADRIGAL BUSINESS PARK,,1,564.00,30,
