,,,230-PRC STA.ANA 2021-04-26_2021-04-26 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MAKATI CITY,CARMONA,CIRCUIT MAKATI,,1,192.00,30,
MAKATI CITY,CARMONA,SAMPAGUITA,,1,327.00,30,
MAKATI CITY,KASILAWAN,BENITO,,1,500.47,30,
MAKATI CITY,KASILAWAN,BJS BUILDING,,1,306.14,30,
MAKATI CITY,KASILAWAN,BJS BUILDING,,1,356.29,30,
MAKATI CITY,KASILAWAN,KASILAWAN BARANGAY HALL,,1,245.00,30,
MAKATI CITY,KASILAWAN,KASILAWAN BARANGAY HALL,,1,563.00,30,
MAKATI CITY,KASILAWAN,KASILAWAN BARANGAY HALL,,1,191.14,30,
MAKATI CITY,KASILAWAN,KASILAWAN BARANGAY HALL,,1,413.00,30,
MAKATI CITY,KASILAWAN,KASILAWAN BARANGAY HALL,,1,497.00,30,
MAKATI CITY,KASILAWAN,KASILAWAN BARANGAY HALL,,1,538.86,30,
MAKATI CITY,OLYMPIA,BIAK NA BATO,,1,196.14,30,
MAKATI CITY,OLYMPIA,CONSTANCIA,,1,386.00,30,
MAKATI CITY,OLYMPIA,CORDILLERA,OLYMPIA BARANGAY HALL,1,583.00,30,
MAKATI CITY,OLYMPIA,HORMIGA,,1,366.71,30,
MAKATI CITY,OLYMPIA,IMUS,,1,201.00,30,
MAKATI CITY,OLYMPIA,IMUS,,1,217.00,30,
MAKATI CITY,OLYMPIA,IMUS,,1,466.00,30,
MAKATI CITY,OLYMPIA,J. B. ROXAS,,1,622.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLAGE,,1,215.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,,1,318.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,,1,239.00,30,
MAKATI CITY,SINGKAMAS,ARANDA,,1,445.00,30,
MAKATI CITY,SINGKAMAS,SINGKAMAS BARANGAY HALL,,1,237.57,30,
MANILA CITY,STA. ANA BARANGAY 770,ORO B,,1,231.14,30,
MANILA CITY,STA. ANA BARANGAY 770,SAGRADA PAMILYA,HOLY FAMILY CHURCH,1,303.00,30,
MANILA CITY,STA. ANA BARANGAY 869,FELIX,,1,548.00,30,
MANILA CITY,STA. ANA BARANGAY 878,JOSE SYQUIA,,1,204.00,30,
MANILA CITY,STA. ANA BARANGAY 884,JOSE SYQUIA,,1,277.00,30,
MAKATI CITY,STA. CRUZ,KAKARONG,,1,401.00,30,
MAKATI CITY,TEJEROS,ADORA,,1,200.00,30,
MAKATI CITY,TEJEROS,J. P. RIZAL,,1,312.00,30,
MAKATI CITY,TEJEROS,PAMILIHAN NG TEJEROS,,1,364.00,30,
MAKATI CITY,TEJEROS,PAMILIHAN NG TEJEROS,,1,207.00,30,
MAKATI CITY,TEJEROS,PASONG TIRAD,,1,231.00,30,
MAKATI CITY,TEJEROS,TEJEROS GARDEN BLISS,,1,122.00,30,
MAKATI CITY,TEJEROS,TEJEROS GARDEN BLISS,,1,707.00,30,
,,,Total,37,12729.46,,
