,,,274-CEBU LAPU-LAPU 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
LAPU-LAPU CITY,AGUS,AGUS BARANGAY HALL,,1,421.00,30,
LAPU-LAPU CITY,AGUS,VISTA BELLA SUBDIVISION,,1,435.00,30,
LAPU-LAPU CITY,AGUS,VISTA BELLA SUBDIVISION,GREEN HOUSE SEAFOOD RESTUARANT,1,339.00,30,
CORDOVA,ALEGRIA,WELCOME BARANGAY ALEGRIA,,1,455.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,291.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,842.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,499.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,220.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,170.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,318.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,471.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,372.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,521.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,418.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,435.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,350.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,452.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,226.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,410.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,445.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,499.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,348.00,30,
LAPU-LAPU CITY,BABAG,AGATON SORONO ROAD,,1,409.00,30,
