,,,284-OLONGAPO RIZAL 2021-03-02_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
OLONGAPO CITY,ASINAN,ANDOKS,,1,289.00,30,
OLONGAPO CITY,ASINAN,ASINAN BARANGAY HALL,,1,438.00,30,
OLONGAPO CITY,ASINAN,BURGOS,,1,404.00,30,
OLONGAPO CITY,ASINAN,COLUMBAN COLLEGE,,1,182.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,582.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,262.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,378.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,251.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,332.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,175.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,452.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,386.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,219.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,289.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,345.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,220.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,236.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,452.00,30,
OLONGAPO CITY,ASINAN,E 6TH STREET,,1,357.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,429.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,410.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,689.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,466.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,1273.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,385.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXTENSION,,1,379.00,30,
OLONGAPO CITY,ASINAN,GALLAGHER STREET,,1,375.00,30,
OLONGAPO CITY,ASINAN,GORDON AVENUE,,1,254.71,30,
OLONGAPO CITY,ASINAN,GORDON AVENUE,,1,811.00,30,
OLONGAPO CITY,ASINAN,GORDON AVENUE,,1,1201.00,30,
OLONGAPO CITY,ASINAN,GORDON AVENUE,,1,564.00,30,
OLONGAPO CITY,ASINAN,IRVING STREET,,1,347.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,1030.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,227.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,450.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,282.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,840.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,401.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,282.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,475.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,217.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,608.00,30,
OLONGAPO CITY,ASINAN,JAMES L. GORDON MEMORIAL HOSPITAL,,1,359.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,262.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,308.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,400.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,290.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,353.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,302.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,199.00,30,
OLONGAPO CITY,ASINAN,KESSING STREET,,1,287.00,30,
OLONGAPO CITY,ASINAN,MCDONALDS,,1,423.00,30,
OLONGAPO CITY,ASINAN,MCDONALDS,,1,319.00,30,
OLONGAPO CITY,ASINAN,MCDONALDS,,1,426.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,424.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,294.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,438.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,127.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,380.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,341.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,339.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,447.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,434.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,479.00,30,
OLONGAPO CITY,ASINAN,OLONGAPO CASINO,,1,444.00,30,
OLONGAPO CITY,ASINAN,SAMS PIZZA,,1,240.00,30,
OLONGAPO CITY,ASINAN,SAMS PIZZA,,1,354.00,30,
OLONGAPO CITY,ASINAN,SM CITY OLONGAPO,,1,560.00,30,
OLONGAPO CITY,ASINAN,SM CITY OLONGAPO,,1,530.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,289.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,432.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,441.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,425.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,504.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,417.00,30,
IBA,BANGANTALINGA,STA RITA CHAPEL,,1,330.00,30,
OLONGAPO CITY,BARANGAY 178,NARRA,,1,182.00,30,
OLONGAPO CITY,BARANGAY 31,BLOCK 6 ROAD,,1,430.00,30,
OLONGAPO CITY,BARANGAY 347,DAGUPAN HEIGHTS,,1,719.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,429.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,303.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,287.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,319.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,363.29,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,501.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,161.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,111.14,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,530.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,386.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,424.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,552.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,499.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,823.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,339.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,315.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,287.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,646.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,392.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,271.00,30,
