,,,329-OLONGAPO GAPAN ROAD 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SAN FERNANDO CITY,ALASAS,LA ALDEA FERNANDINA VILLAGE,,1,242.00,30,
SAN FERNANDO CITY,ALASAS,LA ALDEA FERNANDINA VILLAGE,,1,448.00,30,
SAN FERNANDO CITY,ALASAS,LA ALDEA FERNANDINA VILLAGE,,1,158.00,30,
SAN FERNANDO CITY,ALASAS,LA ALDEA FERNANDINA VILLAGE,,1,264.00,30,
SAN FERNANDO CITY,ALASAS,YELLOW CAB PIZZA,,1,425.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,400.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN BARANGAY HALL,,1,295.00,30,
BACOLOR,CABALANTIAN,CABALANTIAN ELEMENTARY SCHOOL,,1,270.00,30,
SAN FERNANDO CITY,CALZADANG BAYU,PUROK 6 BRGY. LARA,,1,400.00,30,
SAN FERNANDO CITY,CONCEPCION,PACIFIC VILLAGE,,1,268.00,30,
SAN FERNANDO CITY,CONCEPCION,PACIFIC VILLAGE,,1,622.00,30,
SAN FERNANDO CITY,CONCEPCION,PACIFIC VILLAGE,,1,199.00,30,
SAN FERNANDO CITY,CONCEPCION,PACIFIC VILLAGE,,1,987.00,30,
SAN FERNANDO CITY,DEL CARMEN,BRIDGE,,1,504.29,30,
SAN FERNANDO CITY,DEL CARMEN,BRIDGE,,1,390.00,30,
SAN FERNANDO CITY,DEL CARMEN,BRIDGE,,1,499.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,237.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,499.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,891.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,289.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,440.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,687.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,382.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,1292.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,796.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,446.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,460.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,660.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,304.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,433.57,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,118.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,516.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,319.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,505.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,270.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,267.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,312.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,985.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,461.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,401.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,639.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,1126.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,480.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,853.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,499.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,428.43,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,378.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,499.00,30,
SAN FERNANDO CITY,DEL CARMEN,CALULUT - DEL CARMEN ROAD,,1,414.00,30,
SAN FERNANDO CITY,DEL CARMEN,DEL CARMEN BARANGAY HALL,,1,338.00,30,
SAN FERNANDO CITY,DEL CARMEN,DEL CARMEN BARANGAY HALL,,1,313.00,30,
SAN FERNANDO CITY,DEL CARMEN,PROMENADE AVENUE,,1,1348.00,30,
SAN FERNANDO CITY,DEL CARMEN,PROMENADE AVENUE,,1,291.00,30,
SAN FERNANDO CITY,DEL CARMEN,PROMENADE AVENUE,,1,371.00,30,
SAN FERNANDO CITY,DEL CARMEN,WOODGROVE,,1,566.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,289.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,664.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,318.00,30,
SAN FERNANDO CITY,DELA PAZ NORTE,DARGHEMNS STORE BLK 9 LOT 10,,1,309.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,236.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,165.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,225.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,305.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,188.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,202.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,233.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,223.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,163.00,30,
SAN FERNANDO CITY,DOLORES,AGUILA GLASS - SAN FERNANDO,,1,187.00,30,
SAN FERNANDO CITY,DOLORES,BPI SAN FERNANDO,,1,297.00,30,
SAN FERNANDO CITY,DOLORES,BPI SAN FERNANDO,,1,422.00,30,
SAN FERNANDO CITY,DOLORES,BRGY. SAN ISIDRO ROAD,,1,270.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,239.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,279.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,284.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,320.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,499.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,538.00,30,
SAN FERNANDO CITY,DOLORES,GEMSVILLE 1 SUBDIVISION,,1,548.00,30,
