,,,335-32ND BRIDGESTONE 2021-04-01_2021-04-01 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,DONA JOSEFA,FE DEL MUNDO MEDICAL CENTER,,1,623.00,30,
TAGUIG CITY,FORT BONIFACIO,39TH STREET,,1,810.00,30,
TAGUIG CITY,FORT BONIFACIO,FORBESWOOD HEIGHTS TOWER 4,,1,263.29,30,
TAGUIG CITY,FORT BONIFACIO,ONE SERENDRA,,1,845.00,30,
TAGUIG CITY,FORT BONIFACIO,PACIFIC PLAZA TOWERS,,1,436.00,30,
TAGUIG CITY,FORT BONIFACIO,TRION TOWERS,,1,253.00,30,
TAGUIG CITY,FORT BONIFACIO,UNIVERSITY PARKWAY,,1,346.00,30,
TAGUIG CITY,FORT BONIFACIO,UNIVERSITY PARKWAY,,1,225.86,30,
MAKATI CITY,GUADALUPE NUEVO,CORREGIDOR,,1,273.00,30,
MAKATI CITY,GUADALUPE NUEVO,ESCUELA STREET,,1,499.00,30,
MAKATI CITY,GUADALUPE NUEVO,GUADALUPE NUEVO ELEMENTARY SCHOOL,,1,288.00,30,
MAKATI CITY,GUADALUPE NUEVO,GUADALUPE NUEVO WET & DRY MARKET,,1,271.00,30,
MAKATI CITY,GUADALUPE NUEVO,VISAYA,,1,521.00,30,
MAKATI CITY,PINAGKAISAHAN,DANLIG,,1,334.00,30,
MAKATI CITY,PINAGKAISAHAN,DANLIG,,1,169.00,30,
MAKATI CITY,PINAGKAISAHAN,HONDA,,1,413.00,30,
MAKATI CITY,PITOGO,PITOGO BARANGAY HALL,,1,258.86,30,
MAKATI CITY,POST PROPER NORTHSIDE,UPTOWN MALL UPTOWN BONIFACIO,,1,231.00,30,
MAKATI CITY,SOUTH CEMBO,SOUTH CEMBO AVENUE,,1,410.00,30,
MAKATI CITY,SOUTH CEMBO,SOUTH CEMBO BRGY. HALL,,1,196.00,30,
TAGUIG CITY,UPTOWN BONIFACIO,UPTOWN MALL,,1,183.00,30,
,,,Total,21,7849.01,,
