,,,373-Q PLAZA 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MANILA CITY,BARANGAY 102,BLOCK 5 BASKETBALL COVERED COURT MAGSAYSAY VILLAGE TONDO MANILA,,1,234.00,30,
MANILA CITY,BARANGAY 102,BLOCK 5 BASKETBALL COVERED COURT MAGSAYSAY VILLAGE TONDO MANILA,,1,356.00,30,
PASIG CITY,DELA PAZ,BARANGAY DELA PAZ FIRE STATION,,1,486.00,30,
PASIG CITY,DELA PAZ,CHRISTINE VILLAGE,CHRISTINE VILLAGE,1,272.57,30,
PASIG CITY,DELA PAZ,CHRISTINE VILLAGE,CHRISTINE VILLAGE,1,401.00,30,
PASIG CITY,DELA PAZ,OCTAGON ESTATE SUBDIVISION PHASE III,,1,215.00,30,
PASIG CITY,DELA PAZ,OCTAGON VILLAGE PHASE 3,OCTAGON VILLAGE PHASE 3,1,588.29,30,
PASIG CITY,DELA PAZ,VALLEY HOMES EMERALD,,1,411.00,30,
PASIG CITY,DELA PAZ,VALLEY HOMES EMERALD,,1,408.29,30,
PASIG CITY,DELA PAZ,XYLOMELUM,,1,1265.00,45,
MANILA CITY,MALATE BARANGAY 708,PARKING LOT,,1,514.00,30,
PASIG CITY,MANGGAHAN,VISTA VERDE EXECUTIVE VILLAGE,,1,268.00,30,
CAINTA,SAN ANDRES,BLOCK-17A,,1,379.00,30,
CAINTA,SAN ANDRES,CATTLEYA,,1,225.00,30,
CAINTA,SAN ANDRES,GREENWOODS EXECUTIVE VILLAGE PHASE 5 B PARK,CAINTA GREENPARK VILLAGE,1,404.57,30,
CAINTA,SAN ANDRES,GREENWOODS EXECUTIVE VILLAGE PHASE 5 B PARK,CAINTA GREENPARK VILLAGE,1,443.57,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,,1,236.00,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,,1,406.00,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,,1,361.86,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,CAINTA GREENPARK VILLAGE,1,371.57,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,CAINTA GREENPARK VILLAGE,1,349.00,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,CAINTA GREENPARK VILLAGE,1,408.00,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,CAINTA GREENPARK VILLAGE,1,303.29,30,
CAINTA,SAN ANDRES,MIDTOWN VILLAGE CAINTA,CAINTA GREENPARK VILLAGE,1,371.57,30,
CAINTA,SAN ANDRES,SITYO VICTORIA ROAD,,1,293.00,30,
CAINTA,SAN ANDRES,SOUTH STAR DRUG STORE,,1,439.00,30,
CAINTA,SAN ISIDRO,ALICANTE,,1,672.00,30,
CAINTA,SAN ISIDRO,ATHENS,,1,1086.79,30,
CAINTA,SAN ISIDRO,AUGUSTA,,1,374.86,30,
