,,,387-WEST FAIRVIEW 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,218.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,358.00,30,
QUEZON CITY,BAGBAG,JETTI GAS STATION,,1,135.00,30,
QUEZON CITY,BALINTAWAK,RAQUEL SARI SARI STORE,,1,586.00,30,
QUEZON CITY,BATASAN HILLS,EMILIO JACINTO,,1,550.00,30,
QUEZON CITY,BLUE RIDGE A,BLUE RIDGE A,,1,196.00,30,
QUEZON CITY,BLUE RIDGE A,BLUE RIDGE SUBDIVISION,,1,328.57,30,
QUEZON CITY,CENTRAL,QUEZON CAPITAL RURAL BANK,,1,482.00,30,
QUEZON CITY,CENTRAL,QUEZON CAPITAL RURAL BANK,,1,449.86,30,
QUEZON CITY,COMMONWEALTH,REPUBLIC AVENUE,,1,300.00,30,
QUEZON CITY,COMMONWEALTH,REPUBLIC AVENUE,,1,856.00,30,
QUEZON CITY,CULIAT,SUNRISE EXEC. VILLAGE,,1,440.00,30,
QUEZON CITY,CULIAT,SUNRISE EXEC. VILLAGE,FEU-FERN COLLEGE (FEU DILIMAN),1,190.43,30,
QUEZON CITY,DILIMAN,UNIVERSITY OF THE PHILIPPINES DILIMAN,,1,489.00,30,
QUEZON CITY,DONA AURORA,CONRADO SANTOS DENTAL CLINIC,,1,576.00,30,
QUEZON CITY,DONA AURORA,CONRADO SANTOS DENTAL CLINIC,,1,404.00,30,
QUEZON CITY,DONA AURORA,CONRADO SANTOS DENTAL CLINIC,,1,527.00,30,
QUEZON CITY,DONA JOSEFA,COLT MASTER AUTO SUPPLY,,1,622.14,30,
QUEZON CITY,DONA JOSEFA,COLT MASTER AUTO SUPPLY,,1,441.00,30,
QUEZON CITY,DONA JOSEFA,COLT MASTER AUTO SUPPLY,,1,283.00,30,
QUEZON CITY,DONA JOSEFA,COLT MASTER AUTO SUPPLY,,1,368.00,30,
QUEZON CITY,DONA JOSEFA,COLT MASTER AUTO SUPPLY,,1,565.00,30,
QUEZON CITY,FAIRVIEW,ASTER,,1,301.14,30,
QUEZON CITY,FAIRVIEW,ASTER,,1,1074.00,30,
QUEZON CITY,FAIRVIEW,BEL-AIR,FAIRVIEW BARANGAY HALL,1,519.37,30,
QUEZON CITY,FAIRVIEW,BETHEL CHRISTIAN SCHOOL OF FAIRVIEW, INCORPORATED,,1,379.00,30,
QUEZON CITY,FAIRVIEW,BISCAYNE,,1,251.00,30,
QUEZON CITY,FAIRVIEW,BRESCIA HOMES,,1,825.00,30,
QUEZON CITY,FAIRVIEW,BRESCIA HOMES,,1,222.57,30,
QUEZON CITY,FAIRVIEW,BRESCIA HOMES,,1,331.71,30,
QUEZON CITY,FAIRVIEW,BRESCIA HOMES,,1,199.71,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,299.71,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,314.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,354.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,515.75,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,274.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,407.86,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,462.18,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,373.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,434.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,207.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,284.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,210.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,446.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,185.43,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,213.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,139.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,502.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,298.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,279.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,460.14,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,347.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,444.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,391.00,30,
QUEZON CITY,FAIRVIEW,BUICK,,1,590.57,30,
QUEZON CITY,FAIRVIEW,BUICK,BIBLE CHURCH OF NOVALICHES,1,316.71,30,
QUEZON CITY,FAIRVIEW,BULOVA,,1,486.43,30,
QUEZON CITY,FAIRVIEW,CAMARO,,1,622.00,30,
