,,,393-MARCOS ANTIPOLO (FILINVEST) 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
PARANAQUE CITY,B. F. HOMES,LAGUNA BAY DRIVE,SOUTH BAY GARDENS SUBDIVISION,1,628.43,30,
ANTIPOLO CITY,BAGONG NAYON,LOT 102, CLUSTER I,,1,397.00,30,
ANTIPOLO CITY,BAGONG NAYON,LOT 102, CLUSTER I,,1,669.00,30,
ANTIPOLO CITY,BAGONG NAYON,LOT 102, CLUSTER I,,1,411.00,30,
ANTIPOLO CITY,BAGONG NAYON,LOT 102, CLUSTER I,,1,330.00,30,
ANTIPOLO CITY,BAGONG NAYON,MARCOS HIGHWAY,,1,146.86,30,
ANTIPOLO CITY,BEVERLY HILLS,1ST AVENUE,,1,415.00,30,
ANTIPOLO CITY,CALAWIS,SAN JUAN NATIONAL HIGH SCHOOL,,1,145.00,30,
ANTIPOLO CITY,CALAWIS,SAN JUAN NATIONAL HIGH SCHOOL,,1,521.00,30,
MARIKINA CITY,CONCEPCION 2,FORGET ME NOT,,1,165.00,30,
ANTIPOLO CITY,CUPANG,ATLAS,,1,508.00,30,
ANTIPOLO CITY,CUPANG,DAMA DE NOCHE,,1,380.00,30,
ANTIPOLO CITY,CUPANG,GUIJO STREET,,1,264.00,30,
ANTIPOLO CITY,CUPANG,HERCULES,,1,1693.00,30,
ANTIPOLO CITY,CUPANG,HERCULES,LOUISVILLE HOMES SUBDIVISION,1,323.29,30,
ANTIPOLO CITY,CUPANG,HERCULES,LOUISVILLE HOMES SUBDIVISION,1,316.14,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,680.00,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,635.00,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,339.00,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,596.00,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,404.00,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,388.00,30,
ANTIPOLO CITY,CUPANG,LA GRANDEZA, GRAND MONACO HOMES,,1,339.00,30,
ANTIPOLO CITY,CUPANG,LA UNICA HILLS,,1,412.00,30,
ANTIPOLO CITY,CUPANG,LA UNICA HILLS,,1,896.00,30,
ANTIPOLO CITY,CUPANG,LOUISVILLE HOMES SUBDIVISION,,1,943.00,30,
ANTIPOLO CITY,CUPANG,LOUISVILLE HOMES SUBDIVISION,,1,476.00,30,
ANTIPOLO CITY,CUPANG,LOUISVILLE HOMES SUBDIVISION,,1,302.00,30,
ANTIPOLO CITY,CUPANG,M. CORAZON SUBDIVISION,,1,648.57,30,
ANTIPOLO CITY,CUPANG,M. CORAZON SUBDIVISION,,1,260.43,30,
ANTIPOLO CITY,CUPANG,MAXIMO DE ELLO KINGSVILLE,,1,508.57,30,
ANTIPOLO CITY,CUPANG,MAXIMO DE ELLO KINGSVILLE,,1,273.29,30,
ANTIPOLO CITY,CUPANG,MT. EVEREST,,1,329.00,30,
ANTIPOLO CITY,CUPANG,P. OLIVEROS,,1,236.00,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,420.00,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,549.66,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,209.00,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,408.57,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,177.57,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,373.86,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,156.14,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,638.00,30,
ANTIPOLO CITY,CUPANG,PALMERA WOODLANDS SUBDIVISION,,1,341.00,30,
