,,,420-NEW CONGRESSIONAL 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,671.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,276.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG LIPUNAN PAG-ASA CONDOMINIUM,,1,299.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG LIPUNAN PAG-ASA CONDOMINIUM,,1,880.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG LIPUNAN PAGASA CONDOMINIUM,,1,305.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG LIPUNAN PAGASA CONDOMINIUM,,1,261.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG LIPUNAN PAGASA CONDOMINIUM,,1,275.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG ASA HEALTH CENTER,,1,351.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,244.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,183.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,403.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,150.14,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,436.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,697.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,322.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,998.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,244.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,289.57,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,169.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,1372.86,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,163.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,499.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,463.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,417.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,431.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,,1,450.71,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,BAGONG LIPUNAN PAG-ASA CONDOMINIUM,1,523.71,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,BAGONG PAG-ASA BARANGAY HALL,1,271.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA BARANGAY HALL,BAGONG PAG-ASA BARANGAY HALL,1,271.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA ELEMENTARY SCHOOL,,1,441.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA FIRE STATION,,1,449.00,30,
QUEZON CITY,BAGONG PAG-ASA,BAGONG PAG-ASA FIRE STATION,,1,436.57,30,
QUEZON CITY,BAGONG PAG-ASA,ROAD 2,,1,498.00,30,
QUEZON CITY,BAHAY TORO,ABERDEEN STREET,,1,444.00,30,
QUEZON CITY,BAHAY TORO,AGNUS DEI COLLEGE (FORMERLY FEMA),,1,601.00,30,
QUEZON CITY,BAHAY TORO,APOLLO,,1,314.00,30,
QUEZON CITY,BAHAY TORO,AYSHIRE,,1,431.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,890.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,539.14,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,193.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,169.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,179.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,179.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,311.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,446.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,208.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,286.14,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,496.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,406.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,332.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,405.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,207.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,666.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,563.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,204.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,214.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,454.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,998.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,301.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,233.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,1121.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,279.14,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,544.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,345.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,379.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,179.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,815.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,361.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,548.43,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,379.43,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,419.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,567.71,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,152.57,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,455.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,936.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,478.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,638.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,316.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,453.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,444.86,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,182.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,187.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,1263.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,221.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,524.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,316.14,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,371.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,476.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,425.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,406.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,214.43,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,1247.14,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,490.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,495.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,374.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,1108.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,1347.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,422.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,266.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,408.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,465.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,550.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,172.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,305.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,363.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,2029.00,30,
QUEZON CITY,BAHAY TORO,BAHAY TORO BARANGAY HALL,,1,411.86,30,
