,,,430-STO TOMAS 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
BATANGAS CITY,ALANGILAN,BATANGAS STATE UNIVERSITY - ALANGILAN CAMPUS,,1,387.00,30,
BATANGAS CITY,ALANGILAN,BPI JOSE P. LAUREL HIGHWAY BATANGAS CITY,,1,291.00,30,
SANTO TOMAS(BATANGAS),ALANGILAN,CATTLEYA DRIVE,,1,379.00,30,
BATANGAS CITY,BANABA IBABA,HONDA,,1,660.00,30,
BATANGAS CITY,BARANGAY 20,SAN VICENTE,,1,401.00,30,
BATANGAS CITY,BARANGAY 22,BATANGAS NATIONAL HIGH SCHOOL,,1,296.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,360.43,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,244.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,534.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,541.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,287.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,701.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,298.00,30,
SANTO TOMAS(BATANGAS),BARANGAY 4,MPJR BUILDING,,1,318.29,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GENERAL MALVAR AVENUE,,1,303.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GENERAL MALVAR AVENUE,,1,693.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GENERAL MALVAR AVENUE,,1,219.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GENERAL MALVAR AVENUE,,1,243.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GENERAL MALVAR AVENUE,,1,348.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GENERAL MALVAR AVENUE,,1,476.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GOV M MALVAR,,1,407.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GOV M MALVAR,,1,309.00,30,
SANTO TOMAS(BATANGAS),BARANGAY I,GOV M MALVAR,,1,352.57,30,
