,,,441-SOUTHWOODS ECOCENTRUM 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MUNTINLUPA CITY,ALABANG,METROPOLIS STAR ALABANG (FORMERLY METROPOLIS ALABANG),,1,406.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,324.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,352.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,559.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,1387.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,274.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,404.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,274.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,274.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,274.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,274.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,324.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,417.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,318.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,593.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,274.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,174.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,404.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA,,1,291.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA 2 TENNIS COURT,,1,433.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA 2 TENNIS COURT,,1,1160.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA 2 TENNIS COURT,,1,488.57,30,
SAN PEDRO,BAGONG SILANG,ADELINA II & IIA COMPLEX,,1,443.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA II & IIA COMPLEX,,1,280.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA II & IIA COMPLEX,,1,467.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA II & IIA COMPLEX,,1,711.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA II & IIA COMPLEX,,1,423.00,30,
SAN PEDRO,BAGONG SILANG,ADELINA II & IIA COMPLEX,,1,619.00,30,
SAN PEDRO,BAGONG SILANG,BIG APPLE PLASTIC PACKAGING, INC.,,1,164.00,30,
SAN PEDRO,BAGONG SILANG,CORINTHIANS,,1,734.00,30,
SAN PEDRO,BAGONG SILANG,ELNOR,,1,437.00,30,
SAN PEDRO,BAGONG SILANG,ELNOR,,1,469.00,30,
SAN PEDRO,BAGONG SILANG,ELNOR,,1,326.00,30,
