,,,445-KARANGALAN 2021-04-01_2021-04-30 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
PASIG CITY,BAGONG ILOG,KABUTIHAN,,1,477.00,30,
PASIG CITY,DELA PAZ,BARANGAY DELA PAZ FIRE STATION,,1,316.14,30,
PASIG CITY,DELA PAZ,DELA PAZ CHAPEL,,1,1047.00,30,
PASIG CITY,DELA PAZ,DELA PAZ TALIPAPA,,1,745.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,420.57,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,447.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,562.71,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,631.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,1047.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,730.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,167.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,489.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,450.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,708.57,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,422.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,593.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,452.94,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,1084.00,45,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,318.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,1573.00,30,
PASIG CITY,DELA PAZ,KARANGALAN HEALTH CENTER,,1,183.00,30,
PASIG CITY,DELA PAZ,PASIG GREEN PARK,,1,736.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,287.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,379.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,717.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,757.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,131.14,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,284.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,635.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,217.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,252.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,233.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,437.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,389.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,292.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,806.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,634.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,272.71,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,241.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,318.00,30,
PASIG CITY,DELA PAZ,PASIG GREENPARK VILLAGE CLUBHOUSE,,1,318.00,30,
