,,,460-SUMULONG SAN ISIDRO 2021-04-01_2021-04-30 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
ANTIPOLO CITY,BAGONG NAYON,LOT 102, CLUSTER I,,1,162.00,30,
MARIKINA CITY,BARANGKA,CHILD HORIZON CHRISTIAN SCHOOL,,1,610.00,30,
MARIKINA CITY,BEL-AIR,SSS,SSS VILLAGE 3,1,151.86,30,
MARIKINA CITY,CONCEPCION 1,J. MOLINA,CONCEPCION II BARANGAY HALL,1,215.43,30,
MARIKINA CITY,CONCEPCION 1,J. MOLINA,SSS VILLAGE 3,1,452.94,30,
MARIKINA CITY,CONCEPCION 1,J. MOLINA,SSS VILLAGE 3,1,171.86,30,
MARIKINA CITY,CONCEPCION 1,KATIPUNAN,,1,548.00,30,
MARIKINA CITY,CONCEPCION 1,PURPLE,,1,749.00,30,
MARIKINA CITY,CONCEPCION 1,PURPLE,,1,480.00,30,
MARIKINA CITY,CONCEPCION 1,PURPLE,,1,269.00,30,
MARIKINA CITY,CONCEPCION 1,PURPLE,MARIKINA CHRISTIAN FELLOWSHIP,1,119.00,30,
MARIKINA CITY,CONCEPCION 2,ALPHA,,1,552.00,30,
MARIKINA CITY,CONCEPCION 2,ALPHA,,1,438.00,30,
MARIKINA CITY,CONCEPCION 2,ALPHA,,1,598.00,30,
MARIKINA CITY,CONCEPCION 2,ALPHA,,1,572.00,30,
MARIKINA CITY,CONCEPCION 2,ALPHA,,1,172.00,30,
MARIKINA CITY,CONCEPCION 2,ALPHA,,1,342.00,30,
MARIKINA CITY,CONCEPCION 2,APPALOOSA,,1,667.00,30,
MARIKINA CITY,CONCEPCION 2,APPALOOSA,CONCEPCION ELEMENTARY SCHOOL,1,754.00,30,
MARIKINA CITY,CONCEPCION 2,ARAYAT,,1,244.00,30,
MARIKINA CITY,CONCEPCION 2,BEIGE,,1,245.00,30,
MARIKINA CITY,CONCEPCION 2,BEIGE,,1,363.00,30,
MARIKINA CITY,CONCEPCION 2,BEIGE,,1,548.00,30,
MARIKINA CITY,CONCEPCION 2,BUFALLO,,1,523.14,30,
MARIKINA CITY,CONCEPCION 2,CARMINE,,1,717.00,30,
MARIKINA CITY,CONCEPCION 2,CARMINE,,1,525.00,30,
MARIKINA CITY,CONCEPCION 2,CARMINE,,1,462.00,30,
MARIKINA CITY,CONCEPCION 2,CARMINE,,1,357.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,1510.00,60,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,379.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,249.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,201.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,353.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,255.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,311.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,334.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,297.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,,1,424.00,30,
MARIKINA CITY,CONCEPCION 2,CHAMPAGNE,SSS VILLAGE-III,1,476.57,30,
MARIKINA CITY,CONCEPCION 2,CONCEPCION DOS BARANGAY HALL,,1,563.00,30,
MARIKINA CITY,CONCEPCION 2,CONCEPCION DOS BARANGAY HALL,,1,300.00,30,
MARIKINA CITY,CONCEPCION 2,CONCEPCION DOS BARANGAY HALL,,1,306.00,30,
MARIKINA CITY,CONCEPCION 2,CONCEPCION DOS BARANGAY HALL,,1,147.00,30,
MARIKINA CITY,CONCEPCION 2,CONCEPCION II BARANGAY HALL,EAST COMPOUND,1,340.43,30,
MARIKINA CITY,CONCEPCION 2,CREAM,,1,623.71,30,
MARIKINA CITY,CONCEPCION 2,CRIMSON,,1,350.00,30,
MARIKINA CITY,CONCEPCION 2,CRIMSON,,1,709.00,30,
MARIKINA CITY,CONCEPCION 2,EVEREST,,1,313.00,30,
MARIKINA CITY,CONCEPCION 2,FLORING SUPERMART,SSS VILLAGE PHASE-1,1,1053.00,30,
MARIKINA CITY,CONCEPCION 2,FORGET ME NOT,,1,563.00,30,
MARIKINA CITY,CONCEPCION 2,GREEN,,1,403.29,30,
MARIKINA CITY,CONCEPCION 2,GREEN,,1,340.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA AVENUE,,1,333.71,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA AVENUE,,1,428.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,457.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,253.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,885.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,381.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,407.86,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,353.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,242.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,301.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,376.00,30,
MARIKINA CITY,CONCEPCION 2,HACIENDA HEIGHTS,,1,548.00,30,
