,,,472-SUBIC BAY GATEWAY RIZAL 2021-03-02_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
OLONGAPO CITY,ASINAN,ACME INN SUBIC,,1,503.00,30,
OLONGAPO CITY,ASINAN,ASINAN BARANGAY HALL,,1,379.00,30,
OLONGAPO CITY,ASINAN,ASINAN BARANGAY HALL,,1,337.00,30,
OLONGAPO CITY,ASINAN,ASINAN BARANGAY HALL,,1,241.00,30,
OLONGAPO CITY,ASINAN,ASINAN BARANGAY HALL,,1,269.00,30,
OLONGAPO CITY,ASINAN,BURGOS,,1,416.00,30,
OLONGAPO CITY,ASINAN,EAST 10TH STREET,,1,838.00,30,
OLONGAPO CITY,ASINAN,EAST 10TH STREET,,1,651.00,30,
OLONGAPO CITY,ASINAN,EAST 10TH STREET,,1,760.00,30,
OLONGAPO CITY,ASINAN,EAST 10TH STREET,,1,400.00,30,
OLONGAPO CITY,ASINAN,EAST 10TH STREET,,1,2100.00,30,
OLONGAPO CITY,ASINAN,EAST 10TH STREET,,1,696.00,30,
OLONGAPO CITY,ASINAN,EVER HOTEL,,1,539.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,368.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,715.00,30,
OLONGAPO CITY,ASINAN,FENDLER EXT.,,1,550.00,30,
OLONGAPO CITY,ASINAN,MCDONALDS,,1,352.00,30,
OLONGAPO CITY,ASINAN,MCDONALDS,,1,499.00,30,
OLONGAPO CITY,ASINAN,MCDONALDS,,1,432.00,30,
OLONGAPO CITY,ASINAN,PUBLIC UTILITY DEPT.,,1,926.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,194.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,159.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,1990.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,309.00,30,
OLONGAPO CITY,ASINAN,SUBIC RESIDENCIAS,,1,207.00,30,
OLONGAPO CITY,BARANGAY 118,FLOOR CENTER,,1,647.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,499.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,216.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,329.00,30,
OLONGAPO CITY,BARRETO,OLONGAPO - CASTILLEJOS NATIONAL HIGHWAY,,1,336.00,30,
OLONGAPO CITY,CLARK FREEPORT,BUREAU OF IMMIGRATION ANGELES CITY BRANCH,,1,1506.00,30,
OLONGAPO CITY,CLARK FREEPORT,SCTEX,,1,651.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,AIM HIGH AVENUE,,1,572.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,336.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,301.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,494.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,324.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,465.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,401.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,957.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,464.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,841.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARCHERFISH,,1,957.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,840.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,436.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,319.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,622.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,368.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,448.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,1537.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,ARGONAUT HIGHWAY,,1,428.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,467.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,276.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,264.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,438.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,217.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,231.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,259.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,292.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,BONITA,,1,430.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,680.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,447.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,242.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,283.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,257.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,197.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,411.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,938.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,417.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,791.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CAVALLA,,1,264.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,808.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,285.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,369.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,178.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,1013.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,244.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,CORSAIR,,1,1308.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,DARTER,,1,209.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,DARTER,,1,1267.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,DARTER,,1,359.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,DARTER,,1,610.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,DARTER,,1,142.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,DARTER,,1,417.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,EAST 16TH STREET,,1,157.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FAITH,,1,683.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,517.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,583.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,408.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,261.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,353.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,407.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,640.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,522.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,333.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,316.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,694.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,978.00,30,
OLONGAPO CITY,EAST BAJAC-BAJAC,FINBACK,,1,460.00,30,
