,,,497-PUREGOLD TAGAPO 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SANTA ROSA,APLAYA,,,1,602.00,30,
SANTA ROSA,APLAYA,CARNATION,,1,374.00,30,
SANTA ROSA,APLAYA,CARNATION,,1,513.00,30,
SANTA ROSA,APLAYA,CARNATION,,1,297.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE,,1,587.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE,,1,514.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE,,1,269.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,686.42,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,712.57,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,239.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,485.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,226.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,566.90,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,231.86,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,308.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,341.86,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,324.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,485.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,222.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,558.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,365.00,30,
SANTA ROSA,APLAYA,DICTADO VILLAGE 1,,1,436.00,30,
SANTA ROSA,APLAYA,GARDEN AVENUE,,1,726.00,30,
SANTA ROSA,APLAYA,GARDEN AVENUE,,1,379.00,30,
SANTA ROSA,APLAYA,GARDEN AVENUE,,1,523.00,30,
SANTA ROSA,APLAYA,ROSARIO HEIGHTS,,1,406.00,30,
SANTA ROSA,APLAYA,SAINT ROSE VILLAGE 1,,1,2250.00,60,
SANTA ROSA,APLAYA,SAINT ROSE VILLAGE 1,,1,596.00,30,
SANTA ROSA,APLAYA,SAINT ROSE VILLAGE 1,,1,690.00,30,
SANTA ROSA,APLAYA,SATELLITE VIEW,,1,432.00,30,
SANTA ROSA,APLAYA,SATELLITE VIEW,,1,418.00,30,
SANTA ROSA,APLAYA,SATELLITE VIEW,,1,600.00,30,
SANTA ROSA,APLAYA,SATELLITE VIEW,,1,460.00,30,
SANTA ROSA,APLAYA,ST. JOHN SUBDIVISION,,1,304.43,30,
SANTA ROSA,APLAYA,ST. JOHN SUBDIVISION,,1,187.00,30,
SANTA ROSA,APLAYA,ST. ROSE VILLAGE I,,1,522.14,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,242.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,817.14,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,580.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,419.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,143.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,436.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,655.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,1121.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,580.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,234.71,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,127.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,388.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,318.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,561.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,232.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,248.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,261.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,261.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,435.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,231.14,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,,1,127.00,30,
SANTA ROSA,APLAYA,STA ROSA DE LIMA SUBDIVISION,ROSARIO HEIGHTS,1,418.00,30,
SANTA ROSA,APLAYA,TERRY DOWN,,1,402.00,30,
SANTA ROSA,APLAYA,TERRY DOWN,,1,355.00,30,
SANTA ROSA,APLAYA,TERRY DOWN,,1,538.00,30,
SANTA ROSA,APLAYA,TERRY DOWN,,1,413.00,30,
SANTA ROSA,APLAYA,ZERAMYR I SUBDIVISION,,1,299.00,30,
SANTA ROSA,APLAYA,ZERAMYR I SUBDIVISION,,1,372.00,30,
SANTA ROSA,BALIBAGO,SANTA ROSA - TAGAYTAY ROAD,,1,567.00,30,
SANTA ROSA,BINAN (POBLACION),MAKILING,GARCIAS SUBDIVISION,1,375.43,30,
SANTA ROSA,CAINGIN,ANTHORIUM,,1,337.00,30,
SANTA ROSA,CAINGIN,ASTERIOD,,1,523.00,30,
SANTA ROSA,CAINGIN,ASTERIOD,,1,430.00,30,
SANTA ROSA,CAINGIN,BENTLY,,1,527.00,30,
SANTA ROSA,CAINGIN,BENTLY,,1,430.00,30,
SANTA ROSA,CAINGIN,BENTLY,,1,400.00,30,
SANTA ROSA,CAINGIN,BENTLY,,1,296.00,30,
SANTA ROSA,CAINGIN,BMW,,1,542.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,416.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,599.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,618.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,277.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,369.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,273.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,507.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,282.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,350.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,499.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,627.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,334.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,780.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,541.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,818.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,269.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,915.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,270.00,30,
SANTA ROSA,CAINGIN,CAINGIN CHRISTIAN CHURCH INC.,,1,1190.00,30,
SANTA ROSA,CAINGIN,CALLA LILY,,1,479.00,30,
SANTA ROSA,CAINGIN,CALLA LILY,,1,503.00,30,
SANTA ROSA,CAINGIN,CALLA LILY,,1,381.00,30,
SANTA ROSA,CAINGIN,CALLA LILY,,1,380.00,30,
SANTA ROSA,CAINGIN,CALLA LILY,,1,198.00,30,
SANTA ROSA,CAINGIN,CALLA LILY,,1,198.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,217.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,2038.00,60,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,249.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,514.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,489.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,226.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,379.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,318.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,373.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,514.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,298.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,553.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,469.71,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,444.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,499.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,268.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,374.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,521.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,461.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,514.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,509.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,246.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,169.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,462.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,994.00,30,
SANTA ROSA,CAINGIN,CELINA PLAINS SUBDIVISION PHASE 3,,1,196.00,30,
