,,,508-MCARTHUR MAIMPIS 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MEXICO,ACLI,PANINPUAN ROAD,,1,579.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,1096.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,742.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,662.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,380.43,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,164.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,606.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,323.00,30,
SAN FERNANDO CITY,ALASAS,BARANGAY ALASAS ROAD,,1,608.00,30,
SAN FERNANDO CITY,ALASAS,SAINT FRANCIS PHASE II,,1,331.00,30,
ANGELES CITY,AMSIC,COMMERCIAL ROAD,,1,442.00,30,
MEXICO,AMSIC,GARNET,,1,308.00,30,
MEXICO,ANUNAS,SAVANNAH GREEN PLAINS PHASE 1 CLUB HOUSE,,1,291.00,30,
MEXICO,BALIBAGO,MEXICO,,1,850.00,30,
MEXICO,BALIBAGO,MEXICO,,1,266.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,120.43,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,870.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,179.71,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,214.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,358.29,30,
BACOLOR,BALITI,BALITI ROAD,,1,143.29,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,501.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,385.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,689.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,545.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,543.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,323.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,676.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,156.00,30,
SAN FERNANDO CITY,BALITI,BALITI ROAD,,1,449.00,30,
SAN FERNANDO CITY,BALITI,MACARTHUR HIGHWAY,,1,169.71,30,
SAN FERNANDO CITY,BALITI,PANIPUAN INTEGRATED HIGH SCHOOL,,1,295.00,30,
