,,,536-TANDANG SORA 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,227.57,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,514.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,309.43,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,237.29,30,
QUEZON CITY,BAGBAG,BISTEK VILLE 8,,1,536.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,236.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,406.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,526.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,239.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,273.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,273.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,2759.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,440.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,244.00,30,
QUEZON CITY,BAGONG LIPUNAN NG CRAME,NARRA HEIGHTS,,1,296.00,30,
QUEZON CITY,BAGUMBUHAY (PROJECT 4),MAGAT SALAMAT,,1,457.43,30,
QUEZON CITY,BAHAY TORO,CARMEL SUBDIVISION 1,,1,471.00,30,
QUEZON CITY,BAHAY TORO,HAPPY HOMES VILLAGE,,1,1242.00,30,
QUEZON CITY,BAHAY TORO,MCDONALDS CONGRESSIONAL AVE. DRIVETHRU,,1,256.00,30,
QUEZON CITY,BALINGASA,TGP THE GENERICS PHARMACY,,1,392.00,30,
CALOOCAN CITY,BARANGAY 157,REPARO ROAD,,1,372.00,30,
MANILA CITY,BARANGAY 180,TRIUMPHANT CHURCH MINISTRIES INTERNATIONAL OF QUEZON CITY INCORPORATED,,1,232.00,30,
QUEZON CITY,BARANGAY 33,RAFAEL ALUNAN,,1,542.00,30,
QUEZON CITY,BARANGAY 33,RAFAEL ALUNAN,,1,562.00,30,
QUEZON CITY,BLUE RIDGE A,BLUE RIDGE SUBDIVISION,,1,412.00,30,
QUEZON CITY,BLUE RIDGE B,BLUE RIDGE B BARANGAY HALL,,1,254.00,30,
QUEZON CITY,CULIAT,ADMIRABLE LANE,,1,630.90,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,385.00,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,499.00,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,522.00,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,405.29,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,442.71,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,592.00,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,437.29,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,586.00,30,
QUEZON CITY,CULIAT,ALLAN BEAN,,1,187.00,30,
QUEZON CITY,CULIAT,ARMSTRONG,,1,280.00,30,
QUEZON CITY,CULIAT,ARMSTRONG,,1,328.00,30,
QUEZON CITY,CULIAT,CANAAN CHRISTIAN SCHOOL,,1,556.00,30,
QUEZON CITY,CULIAT,CASANOVA DRIVE,,1,338.43,30,
QUEZON CITY,CULIAT,CASANOVA DRIVE,,1,805.00,30,
QUEZON CITY,CULIAT,CASANOVA DRIVE,,1,257.00,30,
QUEZON CITY,CULIAT,CASANOVA DRIVE,TANDANG SORA KINDERGARTEN,1,183.29,30,
QUEZON CITY,CULIAT,CASAS DE ANDALUCIA,,1,499.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,701.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,532.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,508.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,362.57,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,231.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,872.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,462.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,439.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,197.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,417.71,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,623.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,197.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,472.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,428.57,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,508.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,711.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,313.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,215.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,216.00,30,
QUEZON CITY,CULIAT,CENACLE DRIVE,,1,472.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,424.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,694.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,500.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,1699.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,546.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,407.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,330.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,408.00,30,
QUEZON CITY,CULIAT,CHARLES CONRAD,,1,374.00,30,
QUEZON CITY,CULIAT,CONGRESSIONAL AVENUE,,1,1075.00,30,
QUEZON CITY,CULIAT,CONGRESSIONAL AVENUE EXTENSION,,1,427.00,30,
QUEZON CITY,CULIAT,CULIAT BARANGAY HALL,,1,489.00,30,
QUEZON CITY,CULIAT,CULIAT BARANGAY HALL,,1,1105.00,30,
QUEZON CITY,CULIAT,CULIAT BRIDGE 3,,1,219.00,30,
QUEZON CITY,CULIAT,CULIAT BRIDGE 3,,1,144.00,30,
QUEZON CITY,CULIAT,CULIAT BRIDGE 3,,1,219.00,30,
QUEZON CITY,CULIAT,CULIAT BRIDGE 3,,1,417.00,30,
QUEZON CITY,CULIAT,CULIAT BRIDGE 3,,1,295.86,30,
QUEZON CITY,CULIAT,CULIAT BRIDGE 3,,1,378.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE,,1,829.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE,DONA FAUSTINA VILLAGE 2,1,373.29,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE,DONA FAUSTINA VILLAGE 2,1,161.14,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,276.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,208.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,167.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,434.71,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,393.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,648.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,249.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,428.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,212.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,874.00,30,
QUEZON CITY,CULIAT,DONA FAUSTINA VILLAGE 2,,1,156.00,30,
