,,,561-MINDANAO CHARBEL 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,410.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,505.00,30,
QUEZON CITY,APOLONIO SAMSON,WILCON BUILDERS DEPOT,,1,445.00,30,
QUEZON CITY,BAGBAG,ASTEROID,,1,332.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,265.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,435.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,797.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,397.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,264.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,166.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,689.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,262.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,312.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,566.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,,1,199.00,30,
QUEZON CITY,BAGBAG,BAGBAG CEMETERY,KINGS POINT SUBDIVISION,1,530.86,30,
QUEZON CITY,BAGBAG,BERNARDINO ROAD,,1,143.00,30,
QUEZON CITY,BAGBAG,BERNARDINO ROAD,,1,405.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,322.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,421.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,241.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,782.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,524.00,30,
QUEZON CITY,BAGBAG,BERNARTY SUBDIVISION,,1,239.00,30,
QUEZON CITY,BAGBAG,CHRIST KING OF THE UNIVERSE PARISH,,1,216.00,30,
QUEZON CITY,BAGBAG,CHRIST KING OF THE UNIVERSE PARISH,,1,259.00,30,
QUEZON CITY,BAGBAG,CHRIST KING OF THE UNIVERSE PARISH,,1,216.00,30,
QUEZON CITY,BAGBAG,CHRIST KING OF THE UNIVERSE PARISH,,1,199.00,30,
QUEZON CITY,BAGBAG,DYLANS CRIB PRINCESS HOMES,,1,193.00,30,
QUEZON CITY,BAGBAG,ESAU STREET,,1,384.57,30,
QUEZON CITY,BAGBAG,EVER SUPERMARKET - SAUYO,,1,229.00,30,
QUEZON CITY,BAGBAG,FAITH CHRISTIAN ACADEMY OF NOVALICHES,,1,391.00,30,
QUEZON CITY,BAGBAG,FURNISHED APARTMENT NOVALICHES,,1,317.00,30,
QUEZON CITY,BAGBAG,FURNISHED APARTMENT NOVALICHES,,1,203.00,30,
QUEZON CITY,BAGBAG,FURNISHED APARTMENT NOVALICHES,BAGBAG CEMETERY,1,191.86,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,174.00,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,538.14,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,423.00,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,372.14,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,1009.00,30,
QUEZON CITY,BAGBAG,GOLDHILL HOMES,,1,499.00,30,
QUEZON CITY,BAGBAG,GOODWILL ELEMENTARY SCHOOL,,1,466.00,30,
QUEZON CITY,BAGBAG,GOODWILL ELEMENTARY SCHOOL,,1,399.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,256.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,451.47,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,379.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,405.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,800.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,499.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,260.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,506.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,286.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,379.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,382.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,363.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,379.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,411.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,842.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,,1,755.00,30,
QUEZON CITY,BAGBAG,GOODWILL HOMES 2,GOODWILL HOMES 2,1,483.71,30,
QUEZON CITY,BAGBAG,ISAIAH,,1,343.80,30,
QUEZON CITY,BAGBAG,JAMES STREET,,1,862.00,30,
QUEZON CITY,BAGBAG,JUDAH STREET,,1,608.00,30,
QUEZON CITY,BAGBAG,JUDAH STREET,,1,508.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,511.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,358.43,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,680.43,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,684.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,108.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,361.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,546.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,524.57,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,246.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,452.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,498.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,180.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,560.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,359.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,454.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,302.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,191.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,183.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,,1,262.00,30,
QUEZON CITY,BAGBAG,KING ALEXIS,BAGBAG BARANGAY HALL,1,582.86,30,
QUEZON CITY,BAGBAG,KING CHRISTIAN,,1,306.00,30,
QUEZON CITY,BAGBAG,KING CHRISTIAN,,1,273.00,30,
QUEZON CITY,BAGBAG,KING CHRISTIAN,,1,325.00,30,
QUEZON CITY,BAGBAG,KING CHRISTIAN,,1,357.00,30,
QUEZON CITY,BAGBAG,KING CHRISTIAN,,1,505.00,30,
QUEZON CITY,BAGBAG,KING CHRISTIAN,BAGBAG CEMETERY,1,177.57,30,
QUEZON CITY,BAGBAG,KINGS POINT,,1,290.43,30,
QUEZON CITY,BAGBAG,KINGS POINT,,1,771.14,30,
QUEZON CITY,BAGBAG,KINGS POINT,,1,374.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT CHRISTIAN COMMUNITY CHURCH,,1,163.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT CHRISTIAN COMMUNITY CHURCH,,1,231.14,30,
QUEZON CITY,BAGBAG,KINGSPOINT CHRISTIAN COMMUNITY CHURCH,,1,635.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT CHRISTIAN COMMUNITY CHURCH,,1,504.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT HOMEOWNERS ASSOCIATION INC. ,,1,429.71,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,160.43,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,291.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,160.43,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,460.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,1455.00,30,
QUEZON CITY,BAGBAG,KINGSPOINT SUBDIVISION,,1,462.00,30,
