,,,572-IBA ZAMBALES 2021-03-02_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,662.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,432.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,249.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,367.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,499.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,440.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,441.00,30,
IBA,AMUNGAN,AMUNGAN CHURCH OF CHRIST 33AD,,1,626.00,30,
IBA,AMUNGAN,BALINTABOG,,1,998.00,30,
IBA,AMUNGAN,BALINTABOG,,1,774.00,30,
IBA,AMUNGAN,IBA - PALAUIG JCT,,1,162.00,30,
IBA,AMUNGAN,IBA - PALAUIG JCT,,1,786.00,30,
IBA,AMUNGAN,SAN ISIDRO CHURCH,,1,419.00,30,
IBA,AMUNGAN,SAN ISIDRO CHURCH,,1,167.00,30,
IBA,AMUNGAN,SAN ISIDRO CHURCH,,1,429.00,30,
IBA,BANGANTALINGA,12 STAR BEACH RESORT,,1,101.86,30,
IBA,BANGANTALINGA,12 STAR BEACH RESORT,,1,453.00,30,
IBA,BANGANTALINGA,IBA NORTH CENTRAL ELEMENTARY SCHOOL,,1,386.00,30,
IBA,BANGANTALINGA,IBA NORTH CENTRAL ELEMENTARY SCHOOL,,1,492.00,30,
IBA,BANGANTALINGA,IGLESIA NI CRISTO LOKAL NG STO ROSARIO,,1,324.00,30,
IBA,BANGANTALINGA,IGLESIA NI CRISTO LOKAL NG STO ROSARIO,,1,499.00,30,
IBA,BANGANTALINGA,IGLESIA NI CRISTO LOKAL NG STO ROSARIO,,1,499.00,30,
IBA,BANGANTALINGA,JESUS F. MAGSAYSAY NATIONAL HIGH SCHOOL,,1,336.00,30,
IBA,DIRITA-BALOGUEN,(GOVIC HWY) IBA - PALAUIG JCT,,1,270.00,30,
IBA,DIRITA-BALOGUEN,(GOVIC HWY) IBA - PALAUIG JCT,,1,323.00,30,
IBA,DIRITA-BALOGUEN,(GOVIC HWY) IBA - PALAUIG JCT,,1,359.00,30,
IBA,DIRITA-BALOGUEN,(GOVIC HWY) IBA - PALAUIG JCT,,1,277.00,30,
IBA,DIRITA-BALOGUEN,(GOVIC HWY) IBA - PALAUIG JCT,,1,300.00,30,
