,,,576-ANTLERS DASMA 2021-03-16_2021-03-16 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
CAVITE CITY,BARANGAY 61,CAVITE CITY POLICE,,1,344.00,30,
DASMARINAS,BUROL,ANGELO KING MEDICAL RESEARCH BLDG.,,1,4850.00,30,
DASMARINAS,BUROL,CAMELOT,,1,554.00,30,
DASMARINAS,BUROL,CHESTER PLACE SUBDIVISION,,1,567.00,30,
DASMARINAS,BUROL,CHESTER PLACE SUBDIVISION,,1,252.00,30,
DASMARINAS,BUROL,PARIS DRIVE,,1,239.00,30,
DASMARINAS,BUROL,SUMMERWIND VILLAGE,,1,174.00,30,
DASMARINAS,BUROL,SUMMERWIND VILLAGE,,1,522.90,30,
DASMARINAS,BUROL I,CONGRESSIONAL AVENUE,,1,318.00,30,
DASMARINAS,BUROL I,DASMARINAS CENTRAL SCHOOL,,1,426.00,30,
DASMARINAS,BUROL III,CONGRESSIONAL AVENUE,,1,453.00,30,
DASMARINAS,BUROL III,KADIWA MARKET,,1,286.00,30,
DASMARINAS,BUROL III,SM MARKETMALL DASMARINAS,,1,253.00,30,
DASMARINAS,EMMANUEL BERGADO II,ANABU ROAD,,1,720.00,30,
DASMARINAS,FATIMA I,AKLATANG AGUNALDO,,1,354.00,30,
DASMARINAS,FATIMA I,ANTONIO AND VICTORIA COJUANCO MEMORIAL CHAPEL,,1,802.00,30,
DASMARINAS,FATIMA I,MUSEO DE LA SALLE,DE LA SALLE UNIVERSITY,1,333.00,30,
DASMARINAS,FATIMA III,PARANG,,1,287.00,30,
DASMARINAS,langkaan i,Tierra vista ayana phase ii,,1,194.00,30,
DASMARINAS,LUZVIMINDA II,LUZVIMINDA II,,1,441.00,30,
DASMARINAS,PALIPARAN III,WINDWARD HILLS,,1,548.00,30,
DASMARINAS,PALIPARAN III,WINDWARD HILLS,,1,322.00,30,
DASMARINAS,PALIPARAN III,WINDWARD HILLS,,1,275.00,30,
DASMARINAS,PALIPARAN III,WINDWARD HILLS,,1,252.00,30,
DASMARINAS,PALIPARAN III,WINDWARD HILLS,,1,449.00,30,
DASMARINAS,PALIPARAN III,WINDWARD HILLS,WINDWARD HILLS,1,294.00,30,
DASMARINAS,PALIPARAN III,WINDWARD SUBDIVISION,,1,192.00,30,
DASMARINAS,SALITRAN IV,TOWN & COUNTRY SUBDIVISION,,1,258.00,30,
DASMARINAS,SALITRAN IV,TOWN & COUNTRY SUBDIVISION,,1,371.00,30,
DASMARINAS,SALITRAN IV,TOWN & COUNTRY SUBDIVISION,,1,686.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,423.29,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,139.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,423.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,419.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,501.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,377.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,599.00,30,
DASMARINAS,SAMPALOC I,SM DASMARINAS PARKING LOT,,1,427.00,30,
DASMARINAS,SAMPALOC III,FATIMA HEIGHTS SUBDIVISION,,1,611.29,30,
DASMARINAS,SAN AGUSTIN II,MICHIGAN,,1,256.00,30,
DASMARINAS,SAN ANTONIO DE PADUA II,ANABU ROAD,,1,255.00,30,
DASMARINAS,SAN DIONISIO (BARANGAY 1),SAN DIONISIO,,1,225.00,30,
DASMARINAS,SAN ISIDRO LABRADOR II,SALITRAN COMMERCIAL COMPLEX,,1,485.00,30,
DASMARINAS,SAN JOSE,DASMA BAYAN JEEPNEY TERMINAL,,1,269.00,30,
DASMARINAS,SAN JUAN (SAN JUAN I),SAN ISIDRO LABRADOR 2 BARANGAY HALL,,1,247.00,30,
DASMARINAS,SAN LUIS I,DASMA E SEVENTH-DAY ADVENTIST CHURCH,,1,562.00,30,
DASMARINAS,SAN LUIS I,SAN LORENZO RUIZ,,1,517.43,30,
DASMARINAS,SAN MATEO,CONGRESSIONAL AVENUE,,1,330.00,30,
DASMARINAS,SAN ROQUE (STA. CRISTINA II),,,1,516.00,30,
DASMARINAS,SAN ROQUE (STA. CRISTINA II),,,1,407.00,30,
DASMARINAS,SAN ROQUE (STA. CRISTINA II),,,1,312.00,30,
DASMARINAS,SANTA CRUZ II,BRGY. STA CRUZ AREA E,,1,270.00,30,
DASMARINAS,SANTA CRUZ II,BRGY. STA CRUZ AREA E,,1,407.00,30,
DASMARINAS,SANTA CRUZ II,BRGY. STA CRUZ AREA E,,1,416.00,30,
DASMARINAS,SANTA LUCIA (SAN JUAN II),BRGY. STA. LUCIA CREDIT & SAVINGS COOPERATIVE,,1,550.00,30,
DASMARINAS,SANTA LUCIA (SAN JUAN II),BRGY. STA. LUCIA CREDIT & SAVINGS COOPERATIVE,,1,158.00,30,
DASMARINAS,ZONE II,DASCA CABLE SERVICES INC.,,1,159.00,30,
DASMARINAS,ZONE II,DASCA CABLE SERVICES INC.,,1,493.00,30,
DASMARINAS,ZONE II,DASCA CABLE SERVICES INC.,,1,240.00,30,
DASMARINAS,ZONE II,DASCA CABLE SERVICES INC.,,1,143.29,30,
,,,Total,60,27154.2,,
