,,,618-ANGONO 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
ANGONO,,,ICCT COLLEGES,1,535.00,30,
MANDALUYONG CITY,ADDITION HILLS,HARDIN NG PAGASA,,1,231.00,30,
ANGONO,AMPID I,GEORGIA,,1,349.71,30,
ANGONO,BAGONG NAYON,LOT 102, CLUSTER I,,1,622.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,448.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,474.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,358.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,840.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,317.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,294.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,1570.00,60,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,262.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,1072.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,432.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,896.00,30,
ANGONO,BAGUMBAYAN,DELA PAZ,,1,706.29,30,
ANGONO,BAGUMBAYAN,DON JUSTO,,1,249.00,30,
ANGONO,BAGUMBAYAN,DON JUSTO,,1,405.00,30,
ANGONO,BAGUMBAYAN,DON JUSTO,,1,424.00,30,
TAYTAY,BARANGAY 28,BLOCK NO. 6,,1,204.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,379.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,431.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,634.29,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,1186.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,653.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,400.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,328.00,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,835.71,30,
BINANGONAN,BILIBIRAN,1058 SITIO FATIMA PALANGOY,,1,394.00,30,
BINANGONAN,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,375.00,30,
BINANGONAN,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,381.00,30,
ANGONO,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,248.00,30,
BINANGONAN,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,295.00,30,
BINANGONAN,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,467.00,30,
BINANGONAN,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,518.00,30,
BINANGONAN,BILIBIRAN,1ST DOOR OF FAITH CHURCH,,1,1098.00,30,
BINANGONAN,BILIBIRAN,ALFAMART BILIBIRAN,,1,247.00,30,
BINANGONAN,BILIBIRAN,ALFAMART BILIBIRAN,,1,218.00,30,
BINANGONAN,BILIBIRAN,EASTRIDGE GOLF CLUBHOUSE,,1,419.00,30,
BINANGONAN,BILIBIRAN,EASTRIDGE GOLF CLUBHOUSE,,1,1690.00,30,
BINANGONAN,BILIBIRAN,GURONASYON FOUNDATION NATIONAL HIGH SCHOOL,,1,173.00,30,
BINANGONAN,BILIBIRAN,GURONASYON FOUNDATION NATIONAL HIGH SCHOOL,,1,647.00,30,
BINANGONAN,BILIBIRAN,GURONASYON FOUNDATION NATIONAL HIGH SCHOOL,,1,348.00,30,
BINANGONAN,BILIBIRAN,GURONASYON FOUNDATION NATIONAL HIGH SCHOOL,,1,602.00,30,
BINANGONAN,BILIBIRAN,MT. ARAYAT STREET,,1,722.00,30,
BINANGONAN,BILIBIRAN,MT. ARAYAT STREET,,1,443.57,30,
BINANGONAN,BILIBIRAN,XAMARAS CORNER,,1,575.00,30,
BINANGONAN,BILIBIRAN,XAMARAS CORNER,,1,1270.00,30,
BINANGONAN,CALUMPANG,BINANGONAN DIVERSION ROAD,,1,738.00,30,
BINANGONAN,CALUMPANG,BINANGONAN MEMORIAL HOMES,,1,404.00,30,
BINANGONAN,CALUMPANG,BINANGONAN MEMORIAL HOMES,,1,515.00,30,
BINANGONAN,CALUMPANG,BINANGONAN MEMORIAL HOMES,,1,629.00,30,
BINANGONAN,CALUMPANG,MANILA EAST ROAD,,1,284.00,30,
BINANGONAN,CALUMPANG,SAN FRANCISCO NG ASSISI PARISH,,1,177.00,30,
TAYTAY,DOLORES,A-LOT-A LAUNDRY STATION,,1,272.00,30,
TAYTAY,DOLORES,A-LOT-A LAUNDRY STATION,,1,275.71,30,
TAYTAY,DOLORES,AVOCADO,,1,436.00,30,
TAYTAY,DOLORES,BANGIAD BRIDGE 1,,1,447.00,30,
TAYTAY,DOLORES,BERNABE CPD,,1,563.00,30,
TAYTAY,DOLORES,BRGY BENO,,1,172.00,30,
TAYTAY,DOLORES,BRGY BENO,,1,551.00,30,
TAYTAY,DOLORES,BRGY BENO,,1,406.00,30,
TAYTAY,DOLORES,BRGY BENO,MERALCO VILLAGE,1,451.86,30,
TAYTAY,DOLORES,CORTEZ,,1,360.00,30,
TAYTAY,DOLORES,EMERALD,,1,401.00,30,
TAYTAY,DOLORES,GARNET INT,,1,186.00,30,
TAYTAY,DOLORES,GARNET INT,,1,890.00,30,
TAYTAY,DOLORES,GARNET INT,,1,310.00,30,
TAYTAY,DOLORES,GOMEZ 1,,1,1479.00,30,
TAYTAY,DOLORES,JAVIER COMPOUND,,1,429.00,30,
TAYTAY,DOLORES,JAVIER COMPOUND,,1,355.00,30,
TAYTAY,DOLORES,JAVIER COMPOUND,,1,529.00,30,
TAYTAY,DOLORES,JAVIER COMPOUND,,1,230.00,30,
TAYTAY,DOLORES,JAVIER COMPOUND,,1,840.00,30,
TAYTAY,DOLORES,LETICIA MELENDREZ,,1,431.00,30,
TAYTAY,DOLORES,MCDONALDS DRIVE-THRU,,1,936.00,30,
TAYTAY,DOLORES,NEW HOME BUILDERS,,1,563.00,30,
TAYTAY,DOLORES,PHILEC ROAD,,1,390.00,30,
TAYTAY,DOLORES,PHILEC ROAD,,1,913.00,30,
TAYTAY,DOLORES,PHILEC ROAD,,1,345.00,30,
TAYTAY,DOLORES,R-MCDO TODA,,1,368.00,30,
TAYTAY,DOLORES,RIZAL AVENUE,,1,551.00,30,
TAYTAY,DOLORES,RIZAL AVENUE,,1,194.00,30,
TAYTAY,DOLORES,RIZAL AVENUE,,1,332.00,30,
TAYTAY,DOLORES,RIZAL AVENUE,,1,341.00,30,
TAYTAY,DOLORES,SM EVENT CENTER,,1,737.86,30,
TAYTAY,DOLORES,SUMMERFIELD EAST,,1,240.00,30,
TAYTAY,DOLORES,SUMMERFIELD EAST,,1,623.00,30,
TAYTAY,DOLORES,SUMMERFIELD EAST,,1,1007.00,30,
TAYTAY,DOLORES,SUMMERFIELD EAST,,1,379.00,30,
TAYTAY,DOLORES,SUMMERFIELD EAST,SUMMERFIELD EAST,1,511.18,30,
TAYTAY,DOLORES,SUMMERFIELD EAST,SUMMERFIELD EAST,1,446.00,30,
TAYTAY,DOLORES,TAYTAY BRIDGE,,1,423.00,30,
TAYTAY,DOLORES,TAYTAY DIVERSION ROAD,,1,450.71,30,
