,,,683-CALOOCAN 8TH STREET 2021-01-01_2021-01-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,APOLONIO SAMSON ELEMENTARY SCHOOL,,1,640.00,30,
QUEZON CITY,APOLONIO SAMSON,OLD SAMSON,,1,548.00,30,
QUEZON CITY,APOLONIO SAMSON,OLD SAMSON,,1,643.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,626.86,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,501.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,213.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,332.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,219.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,547.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,353.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,402.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,565.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,345.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,244.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,451.00,30,
QUEZON CITY,BALINGASA,ANDRES BONIFACIO,,1,435.00,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,,1,437.00,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,,1,563.00,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,,1,173.00,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,,1,681.00,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,,1,510.00,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,BALINGASA BARANGAY HALL,1,760.71,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,BALINGASA BARANGAY HALL,1,395.57,30,
QUEZON CITY,BALINGASA,BALINGASA BARANGAY HALL,BALINGASA BARANGAY HALL,1,926.42,30,
QUEZON CITY,BALINGASA,BALINGASA ELEMENTARY SCHOOL,,1,327.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,155.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,206.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,185.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,611.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,573.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,530.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,531.00,30,
QUEZON CITY,BALINGASA,BALINGASA HEALTH CENTER,,1,302.00,30,
QUEZON CITY,BALINGASA,BALINGASA HIGH SCHOOL,,1,445.00,30,
QUEZON CITY,BALINGASA,BALINGASA HIGH SCHOOL,,1,461.00,30,
QUEZON CITY,BALINGASA,BALINGASA HIGH SCHOOL,,1,268.00,30,
QUEZON CITY,BALINGASA,BALINGASA ROAD,,1,329.00,30,
