,,,691-CROSSROAD 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,199.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,263.29,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,434.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,392.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,319.00,30,
QUEZON CITY,APOLONIO SAMSON,FLOOR CENTER HARDWARE,,1,352.00,30,
QUEZON CITY,BAESA,ARGAO,,1,413.00,30,
QUEZON CITY,BAESA,ARGAO,,1,527.00,30,
QUEZON CITY,BAESA,ARGAO,,1,405.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,469.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,275.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,416.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,774.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,598.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,986.00,30,
QUEZON CITY,BAESA,ARGAO DRIVE,,1,348.00,30,
QUEZON CITY,BAESA,ASIA BREWERY,,1,424.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,269.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,261.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,822.86,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,319.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,285.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,479.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,617.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,292.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,365.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,391.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,268.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,341.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,234.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,208.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,688.23,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,401.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,368.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,167.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,261.00,30,
QUEZON CITY,BAESA,BAESA BARANGAY HALL,,1,289.00,30,
