,,,726-NEW SAN MATEO 2021-04-01_2021-04-30 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SAN MATEO,AMPID I,CARRYLAND COUNTRY HOMES,,1,520.00,30,
SAN MATEO,AMPID I,CARRYLAND COUNTRY HOMES,,1,500.47,30,
SAN MATEO,AMPID I,CHARIVILLE HOMES,,1,379.00,30,
SAN MATEO,AMPID I,CHARIVILLE HOMES,,1,737.00,30,
SAN MATEO,AMPID I,CHARIVILLE HOMES,CHARIVILLE HOMES,1,688.14,30,
SAN MATEO,AMPID I,DE LOS SANTOS,,1,162.00,30,
SAN MATEO,AMPID I,EARTH,,1,540.00,30,
SAN MATEO,AMPID I,EARTH,,1,273.00,30,
SAN MATEO,AMPID I,GEN. A. LUNA,,1,250.00,30,
SAN MATEO,AMPID I,GEN. A. LUNA,,1,640.00,30,
SAN MATEO,AMPID I,GEN. A. LUNA,,1,298.00,30,
SAN MATEO,AMPID I,GEN. A. LUNA,,1,1049.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,590.18,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,74.00,60,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,578.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,198.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,291.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,560.47,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,616.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,745.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,445.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,333.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,762.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,838.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,232.86,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,199.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,463.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,713.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,166.86,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,801.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,310.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,304.71,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,560.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,552.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,683.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,934.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,743.79,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,886.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,896.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,386.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,575.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,352.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,711.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,179.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,523.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,637.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,332.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,490.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,278.29,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,463.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,510.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,305.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,480.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,993.00,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,467.94,30,
SAN MATEO,AMPID I,GREENLAND NEWTOWN EXECUTIVE VILLAGE,,1,927.00,30,
SAN MATEO,AMPID I,JUPITER STREET,,1,595.00,30,
SAN MATEO,AMPID I,KWCA HIGHSCHOOL,,1,260.00,30,
SAN MATEO,AMPID I,SHELL (GEN LUNA),SHELL (GEN LUNA),1,257.00,30,
SAN MATEO,AMPID I,SM CITY SAN MATEO,,1,563.00,30,
SAN MATEO,AMPID I,SM CITY SAN MATEO,,1,888.00,30,
SAN MATEO,AMPID I,SM CITY SAN MATEO,,1,273.00,30,
SAN MATEO,AMPID I,SM CITY SAN MATEO,,1,731.00,30,
SAN MATEO,AMPID I,SM CITY SAN MATEO,,1,491.00,30,
SAN MATEO,AMPID I,ST. MARK,,1,460.43,30,
SAN MATEO,AMPID I,STA. MARIA COMPOUND,,1,471.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,165.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,500.47,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,197.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,231.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,548.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,399.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,972.00,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,218.71,30,
SAN MATEO,AMPID I,SUNNYVILLE 4 SUBDIVISION,,1,182.00,30,
