,,,730-MCKINLEY WEST 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
TAGUIG CITY,BAGONG TANYAG,BLACK ARROW EXPRESS WSR HQ,,1,390.00,30,
TAGUIG CITY,BAGUMBAYAN,NCRPO FIRING RANGE,,1,2250.00,30,
TAGUIG CITY,BAMBANG,40TH STREET,,1,769.00,30,
TAGUIG CITY,BAMBANG,MORNING SUN TOWNHOMES GATE 1,,1,1056.00,30,
CALOOCAN CITY,BARANGAY 178,CAPITOL PARK HOMES 2 SUBDIVISION,,1,1399.00,30,
TAGUIG CITY,BGC,SM AURA SKY PARK,,1,395.71,30,
TAGUIG CITY,BGC,SMX CONVENTION CENTER AURA,,1,325.00,30,
TAGUIG CITY,BGC,SMX CONVENTION CENTER AURA,,1,472.00,30,
TAGUIG CITY,BGC,SMX CONVENTION CENTER AURA,,1,733.00,30,
TAGUIG CITY,BGC,THE ASTON AT TWO SERENDRA,,1,727.00,30,
TAGUIG CITY,BGC,THE ASTON AT TWO SERENDRA,MCKINLEY BLDG-B,1,545.00,30,
TAGUIG CITY,BGC,THE ASTON AT TWO SERENDRA,MCKINLEY BLDG-B,1,431.00,30,
TAGUIG CITY,BGC,THE SEQUOIA AT TWO SERENDRA,,1,253.00,30,
TAGUIG CITY,BGC,THE SEQUOIA AT TWO SERENDRA,,1,237.00,30,
TAGUIG CITY,BGC,THE SEQUOIA AT TWO SERENDRA,,1,422.00,30,
TAGUIG CITY,BONIFACIO GLOBAL CITY,BGC CORPORATE CENTER,,1,1154.00,30,
TAGUIG CITY,BONIFACIO GLOBAL CITY,BGC CORPORATE CENTER,,1,4564.00,30,
TAGUIG CITY,CENTRAL SIGNAL VILLAGE,BLK 4 POLICE PRECINT,,1,185.00,30,
TAGUIG CITY,CENTRAL SIGNAL VILLAGE,CUASAY STREET,,1,209.00,30,
MAKATI CITY,DASMARINAS,AMORSOLO,,1,370.00,30,
MAKATI CITY,DASMARINAS,ANTONIO S ARNAIZ AVENUE,,1,425.00,30,
MAKATI CITY,DASMARINAS,AVOCADO,,1,253.00,30,
MAKATI CITY,DASMARINAS,AVOCADO,,1,253.00,30,
MAKATI CITY,DASMARINAS,AVOCADO,,1,189.00,30,
MAKATI CITY,DASMARINAS,BANYAN ROAD,,1,536.00,30,
MAKATI CITY,DASMARINAS,BGC BUS WEST - AYALA STATION,,1,201.00,30,
MAKATI CITY,DASMARINAS,CARISSA,SAN LORENZO VILLAGE,1,677.00,30,
