,,,768-BINAN HIGHWAY 2021-03-16_2021-03-16 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
BINAN,BIAN (POBLACION),KINGFISHER,,1,217.00,30,
BINAN,BINAN,DE LA SALLE UNIVERSITY - LAGUNA CAMPUS,,1,192.00,30,
BINAN,BINAN (POBLACION),BEACON ACADEMY,,1,902.00,30,
BINAN,BINAN (POBLACION),BINAN BRGY HALL,,1,290.00,30,
BINAN,BINAN (POBLACION),BINAN BRGY HALL,,1,240.00,30,
BINAN,BINAN (POBLACION),BINAN BRGY HALL,,1,557.00,30,
BINAN,BINAN (POBLACION),BINAN BRGY HALL,,1,240.00,30,
BINAN,BUNGAHAN,BRENTVILLE,,1,297.00,30,
BINAN,BUNGAHAN,LAGUNA INTERNATIONAL INDUSTRIAL PARK - LIIP,,1,216.00,30,
BINAN,BUNGAHAN,TRANSITIONS OPTICAL PHILIPPINES INC.,,1,1375.00,30,
BINAN,CANLALAY,CANLALAY ELEMENTARY SCHOOL,,1,514.00,30,
BINAN,CANLALAY,CANLALAY ELEMENTARY SCHOOL,,1,242.14,30,
BINAN,CANLALAY,CANLALAY ELEMENTARY SCHOOL,,1,417.00,30,
BINAN,CANLALAY,CANLALAY ELEMENTARY SCHOOL,,1,507.00,30,
BINAN,CANLALAY,CANLALAY ELEMENTARY SCHOOL,,1,97.00,30,
BINAN,CANLALAY,CANLALAY ELEMENTARY SCHOOL,,1,232.00,30,
BINAN,CANLALAY,GOLDEN CITY CANLALAY SUBDIVISION,,1,474.00,30,
BINAN,CANLALAY,GOLDEN CITY CANLALAY SUBDIVISION,,1,558.00,30,
BINAN,CANLALAY,GOLDEN CITY CANLALAY SUBDIVISION,,1,278.00,30,
BINAN,CANLALAY,GOLDEN CITY CANLALAY SUBDIVISION,,1,237.00,30,
BINAN,CANLALAY,GOLDEN CITY CANLALAY SUBDIVISION,,1,475.00,30,
BINAN,CANLALAY,GOLDEN CITY CANLALAY SUBDIVISION,,1,405.42,30,
BINAN,CANLALAY,GOLDEN CITY SUBD,,1,295.00,30,
BINAN,CANLALAY,GOLDEN CITY SUBD,,1,183.00,30,
BINAN,CANLALAY,GOLDEN CITY SUBD,,1,757.00,30,
BINAN,CANLALAY,GOLDEN CITY SUBD,,1,718.00,30,
BINAN,CANLALAY,GREENWICH AVENUE,,1,309.00,30,
BINAN,CANLALAY,NATIONAL HIGHWAY,,1,204.00,30,
BINAN,CANLALAY,RACAL MOTORCYCLE CORPORATION,,1,581.00,30,
BINAN,CANLALAY,SOUTH SPRING AVENUE,,1,375.00,30,
BINAN,CANLALAY,SOUTH SPRING AVENUE,,1,412.00,30,
BINAN,CANLALAY,ST. FRANCIS I,,1,943.00,30,
BINAN,CANLALAY,WOODSIDE VILLAGE,,1,500.00,30,
BINAN,CANLALAY,WOODSIDE VILLAGE,,1,356.14,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,314.00,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,310.86,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,200.00,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,386.00,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,769.00,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,78.00,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,1073.00,30,
BINAN,DE LA PAZ,DELA PAZ BARANGAY HALL,,1,184.71,30,
BINAN,LANGKIWA,VERDANA HOMES MAMPLASAN,,1,885.00,30,
BINAN,MALABAN,MALABAN BARANGAY HALL,,1,413.00,30,
BINAN,MALABAN,MALABAN BARANGAY HALL,,1,393.00,30,
