,,,775-VERMOSA 2021-03-17_2021-03-17 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
IMUS,ANABU II-B,GOLDEN CITY CLUB HOUSE,,1,287.00,30,
IMUS,ANABU II-B,GOLDEN CITY CLUB HOUSE,,1,569.00,30,
IMUS,ANABU II-B,RICHLANE SUBDIVISION,,1,668.00,30,
IMUS,ANABU II-C,BERLIN STREET,,1,716.00,30,
IMUS,ANABU II-C,FORD CAVITE,,1,773.00,30,
IMUS,ANABU II-C,OPEN CANAL,,1,348.00,30,
IMUS,ANABU II-F,ANABU ROAD,,1,160.00,30,
IMUS,MALAGASANG II-D,UNITED PENTECOSTAL CHURCH - MARYCRIS,,1,452.00,30,
IMUS,MALAGASANG II-E,GREENMARK HOMES 1,,1,416.00,30,
,,,Total,9,4389,,
