,,,782-SHELL BROOKSIDE CAINTA 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
BINANGONAN,BILIBIRAN,THE BLACK BOX,,1,555.00,30,
BINANGONAN,BILIBIRAN,THE BLACK BOX,,1,318.00,30,
TAYTAY,DOLORES (POB.),SEALITE COMPANY INC.,,1,284.00,30,
TAYTAY,DOLORES (POB.),SEALITE COMPANY INC.,,1,292.00,30,
TAYTAY,DOLORES (POB.),SEALITE COMPANY INC.,,1,229.00,30,
TAYTAY,DOLORES (POB.),SEALITE COMPANY INC.,,1,246.00,30,
TAYTAY,DOLORES (POB.),SEALITE COMPANY INC.,,1,284.00,30,
PASIG CITY,MANGGAHAN,MAYFIELD PARK RESIDENCES,,1,428.00,30,
PASIG CITY,MANGGAHAN,MAYFIELD PARK RESIDENCES,,1,714.00,30,
PASIG CITY,MANGGAHAN,MAYFIELD PARK RESIDENCES,,1,319.00,30,
PASIG CITY,MANGGAHAN,MAYFIELD PARK RESIDENCES,,1,199.00,30,
PASIG CITY,MANGGAHAN,MAYFIELD PARK RESIDENCES,,1,597.00,30,
PASIG CITY,MANGGAHAN,MAYFIELD PARK RESIDENCES,MAYFIELD PARK RESIDENCES,1,477.00,30,
ANTIPOLO CITY,MAYAMOT,FILINVEST GATE CAINTA,,1,582.00,30,
ANTIPOLO CITY,MUNTINGDILAW,COUNTRY HOMES,,1,363.00,30,
ANTIPOLO CITY,MUNTINGDILAW,DELOS ANGELES DRIVE,,1,300.00,30,
ANTIPOLO CITY,MUNTINGDILAW,DELOS ANGELES DRIVE,,1,360.00,30,
ANTIPOLO CITY,MUNTINGDILAW,DELOS ANGELES DRIVE,,1,345.00,30,
ANTIPOLO CITY,MUNTINGDILAW,DELOS ANGELES DRIVE,,1,320.00,30,
ANTIPOLO CITY,MUNTINGDILAW,DELOS ANGELES DRIVE,,1,379.00,30,
