,,,785-MEXICO 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
ANGELES CITY,BALIBAGO,1ST,,1,448.00,30,
MEXICO,BALIBAGO,MEXICO,,1,929.00,30,
MEXICO,BULAON,HENDERSON,,1,386.00,30,
MEXICO,CALIBUTBUT,CALLE SIETE,,1,345.00,30,
MEXICO,CARMONA,IMMACULATE CONCEPTION CHAPEL,,1,904.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,301.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,502.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,470.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,299.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,317.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,321.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,364.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,361.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,542.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,544.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,683.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,119.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,626.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,283.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,425.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,409.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,536.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,650.00,30,
MEXICO,CUTCUT,HERITAGE SUBDIVISION,,1,330.00,30,
MEXICO,DEL CARMEN,SABANILLA ELEMENTARY SCHOOL,,1,559.00,30,
MEXICO,DEL CARMEN,SABANILLA ELEMENTARY SCHOOL,,1,388.00,30,
MEXICO,DEL CARMEN,YHEN & FEI HOUSE,,1,636.00,30,
MEXICO,DIVISORIA,BERKELY PAMPANGA,,1,884.00,30,
MEXICO,DIVISORIA,BERKELY PAMPANGA,,1,508.00,30,
MEXICO,DIVISORIA,BERKELY PAMPANGA,,1,278.00,30,
MEXICO,DIVISORIA,BERKELY PAMPANGA,,1,424.00,30,
MEXICO,DIVISORIA,CARSON,,1,528.00,30,
MEXICO,DIVISORIA,CARSON,,1,691.00,30,
MEXICO,DIVISORIA,GLENDALE,,1,703.00,30,
MEXICO,DIVISORIA,GLENDALE,,1,581.00,30,
MEXICO,DIVISORIA,GLENDALE,,1,565.00,30,
MEXICO,DIVISORIA,NAPLES,,1,745.00,30,
MEXICO,DIVISORIA,NAPLES,,1,226.00,30,
MEXICO,DIVISORIA,THERMAL,,1,758.00,30,
MEXICO,DIVISORIA,THERMAL,,1,642.00,30,
MEXICO,DIVISORIA,THERMAL,,1,560.00,30,
MEXICO,DIVISORIA,WEST END,,1,488.00,30,
MEXICO,DIVISORIA,WINDSOR,,1,430.00,30,
MEXICO,DIVISORIA,WINDSOR,,1,776.00,30,
MEXICO,KAYBUTO,F. CATAPUSAN STREET,,1,1995.00,30,
MEXICO,LAGUNDI,JOSE ABAD SANTOS AVENUE,,1,283.00,30,
MEXICO,LAGUNDI,JOSE ABAD SANTOS AVENUE,,1,307.00,30,
MEXICO,LAGUNDI,KAYABE ICE PLANT COLD STORAGE,,1,396.00,30,
MEXICO,LAGUNDI,KAYABE ICE PLANT COLD STORAGE,,1,649.00,30,
MEXICO,LAGUNDI,NATIONAL POWER CORPS. NGCP,,1,690.00,30,
MEXICO,LAGUNDI,NATIONAL ROAD TO MEXICO,,1,237.00,30,
MEXICO,LAGUNDI,NATIONAL ROAD TO MEXICO,,1,159.00,30,
MEXICO,LAGUNDI,NATIONAL ROAD TO MEXICO,,1,245.00,30,
