,,,816-XENTROMALL MONTALBAN HIGHWAY 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,258.00,30,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,394.00,30,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,403.00,30,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,405.00,30,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,761.43,30,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,847.00,30,
RODRIGUEZ,BALITE,CENTELLA HOMES SUBDIVISION,,1,391.00,30,
RODRIGUEZ,BALITE,CHARMIZON SUBD,,1,429.00,30,
RODRIGUEZ,BALITE,CHARMIZON SUBDIVISION,,1,663.00,30,
RODRIGUEZ,BALITE,DAANG BAKAL ST,,1,627.00,30,
RODRIGUEZ,BALITE,DAANG BAKAL ST,,1,593.00,30,
RODRIGUEZ,BALITE,DAANG BAKAL ST,,1,494.00,30,
RODRIGUEZ,BALITE,DAANG BAKAL ST,,1,228.00,30,
RODRIGUEZ,BALITE,DAANG BAKAL ST,,1,779.00,30,
RODRIGUEZ,BALITE,DONA MAXIMA SUBDIVISION,,1,403.00,30,
RODRIGUEZ,BALITE,EASTWIND SUBDIVISION,,1,355.00,30,
RODRIGUEZ,BALITE,EASTWIND SUBDIVISION,,1,344.00,30,
RODRIGUEZ,BALITE,EASTWIND SUBDIVISION,,1,305.00,30,
RODRIGUEZ,BALITE,GREEN ROSE SUBDIVISION 3,,1,251.00,30,
RODRIGUEZ,BALITE,MONTALBAN CEMETERY,,1,1115.00,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,379.00,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,961.00,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,499.00,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,474.71,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,501.00,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,912.00,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,433.71,30,
RODRIGUEZ,BALITE,MONTALBAN POLICE STN,,1,726.00,30,
RODRIGUEZ,BALITE,PANDAYAN ST,,1,393.00,30,
RODRIGUEZ,BALITE,ROSAL ST,,1,851.00,30,
RODRIGUEZ,BALITE,SAN RAFAEL MARKET,,1,559.00,30,
RODRIGUEZ,BALITE,SILANGAN VILLAGE,,1,588.00,30,
RODRIGUEZ,BALITE,SILANGAN VILLAGE,,1,240.00,30,
RODRIGUEZ,BALITE,ST JOSEPH ST,,1,489.00,30,
RODRIGUEZ,BALITE,ST. JOSEPH COLLEGE,,1,252.00,30,
RODRIGUEZ,BALITE,SUNFLOWER ST,,1,249.71,30,
RODRIGUEZ,BALITE,VICTORIA CMPD,,1,250.00,30,
RODRIGUEZ,BALITE,VICTORIA CMPD,BURGOS ELEMENTARY SCHOOL,1,409.00,30,
SAN MATEO,BURGOS,SORRENTO VILLAGE,,1,146.00,30,
SAN MATEO,BURGOS,SORRENTO VILLAGE,,1,306.00,30,
SAN MATEO,BURGOS,SORRENTO VILLAGE,SORRENTO VILLAGE,1,413.00,30,
QUEZON CITY,E. RODRIGUEZ,E. RODRIGUEZ BARANGAY HALL,,1,226.00,30,
QUEZON CITY,E. RODRIGUEZ,E. RODRIGUEZ BARANGAY HALL,,1,189.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,752.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,469.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,379.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,279.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,550.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,408.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,790.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,915.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,339.00,30,
RODRIGUEZ,GERONIMO,YNARES COVERED COURT,,1,285.00,30,
RODRIGUEZ,MALY,BURGOS NATIONAL HIGHSCHOOL,,1,281.00,30,
SAN MATEO,MALY,MARANG BURGOS,,1,421.00,30,
RODRIGUEZ,MANGGAHAN,AKASYA,,1,293.00,30,
RODRIGUEZ,MANGGAHAN,AKASYA,,1,464.00,30,
RODRIGUEZ,MANGGAHAN,AKASYA,,1,550.00,30,
RODRIGUEZ,MANGGAHAN,AKASYA,,1,514.00,30,
