,,,817-STA ANA PAMPANGA 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
ARAYAT,BALIBAGO,ARAYAT ST.,,1,594.00,30,
ARAYAT,BARANGAY 20,TONDO BRICK PUROK 1,,1,908.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,606.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,843.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,428.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,659.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,1100.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,1064.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,475.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,246.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,569.00,30,
MEXICO,CONCEPCION,MAGALANG-ARAYAT-SANTA ANA ROAD,,1,570.00,30,
SANTA ANA(PAMPANGA),CUTCUT,LEOPOLDO,,1,249.00,30,
ARAYAT,CUTCUT,SAN JUAN STREET,,1,289.00,30,
ARAYAT,CUTCUT,SAN JUAN STREET,,1,999.00,30,
SAN FERNANDO CITY,DOLORES,SAINT SIMON STREET,,1,1103.00,30,
ARAYAT,GATIAWIN,A. N. MANAPAT,,1,440.00,30,
ARAYAT,GATIAWIN,A.N. MANAPAT ST.,,1,560.00,30,
ARAYAT,GATIAWIN,A.N. MANAPAT ST.,,1,530.00,30,
ARAYAT,GATIAWIN,A.N. MANAPAT ST.,,1,515.00,30,
ARAYAT,GATIAWIN,A.N. MANAPAT ST.,,1,375.00,30,
ARAYAT,GATIAWIN,ARAYAT FIRE STATION,,1,641.00,30,
ARAYAT,GATIAWIN,ARAYAT INSTITUTE,,1,573.00,30,
ARAYAT,GATIAWIN,ARAYAT PUBLIC MARKET,,1,255.00,30,
ARAYAT,GATIAWIN,ARAYAT PUBLIC MARKET,,1,184.00,30,
ARAYAT,GATIAWIN,BALAGTAS BREAD AND CAKE HOUSE,,1,427.00,30,
ARAYAT,GATIAWIN,BALAGTAS BREAD AND CAKE HOUSE,,1,583.00,30,
ARAYAT,GATIAWIN,BALAGTAS BREAD AND CAKE HOUSE,,1,406.00,30,
ARAYAT,GATIAWIN,BRGY. SAN AGUSTIN SUR ROAD,,1,775.00,30,
ARAYAT,GATIAWIN,CACUTUD POLICE STATION,,1,281.00,30,
ARAYAT,GATIAWIN,CACUTUD POLICE STATION,,1,530.00,30,
ARAYAT,GATIAWIN,CACUTUD POLICE STATION,,1,1778.00,60,
ARAYAT,GATIAWIN,GEN. ALEJANDRINO STREET,,1,493.00,30,
ARAYAT,GATIAWIN,ISIDRO - SANTIAGO FARM LOT,,1,333.00,30,
ARAYAT,GATIAWIN,J.M. ESPINO STREET,,1,411.00,30,
ARAYAT,GATIAWIN,J.M. ESPINO STREET,,1,405.00,30,
ARAYAT,GATIAWIN,J.M. ESPINO STREET,,1,1092.00,30,
ARAYAT,GATIAWIN,JOSE ABAD SANTOS AVENUE,,1,407.00,30,
ARAYAT,GATIAWIN,JOSE ABAD SANTOS AVENUE,,1,446.00,30,
ARAYAT,GATIAWIN,JOSE ABAD SANTOS AVENUE,,1,794.00,30,
ARAYAT,GATIAWIN,JOSE ABAD SANTOS AVENUE,,1,2660.00,60,
ARAYAT,GATIAWIN,JOSE ABAD SANTOS AVENUE,,1,443.00,30,
ARAYAT,GATIAWIN,JOSE ABAD SANTOS AVENUE,,1,373.00,30,
