,,,827-PULONG BUHANGIN 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SANTA MARIA,BALASING,CATMON-BALASING ROAD,,1,878.00,30,
SANTA MARIA,BALASING,CATMON-BALASING ROAD,,1,516.00,30,
SANTA MARIA,BALASING,CATMON-BALASING ROAD,,1,257.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,1124.00,45,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,389.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,649.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,385.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,562.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,617.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,162.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,398.00,30,
SANTA MARIA,CAY POMBO,CAY POMBO ELEMENTARY SCHOOL,,1,869.00,30,
SANTA MARIA,CAY POMBO,LAS PALMAS SUBDIVISION,,1,403.00,30,
SANTA MARIA,CAY POMBO,LAS PALMAS SUBDIVISION,,1,684.00,30,
SANTA MARIA,CAY POMBO,LAS PALMAS SUBDIVISION,,1,472.00,30,
SANTA MARIA,CAY POMBO,LAS PALMAS SUBDIVISION,,1,207.00,30,
SANTA MARIA,CAY POMBO,LAS PALMAS SUBDIVISION,,1,500.00,30,
SANTA MARIA,CAY POMBO,SITIO LUCIA GARDEN RESORT,,1,836.00,30,
SANTA MARIA,MAG-ASAWANG SAPA,NORZAGARAY-STA MARIA ROAD,,1,408.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,426.14,30,
SANTA MARIA,PULONG BUHANGIN,,,1,669.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,424.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,687.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,694.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,563.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,1232.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,418.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,435.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,285.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,916.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,909.86,30,
SANTA MARIA,PULONG BUHANGIN,,,1,808.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,367.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,499.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,655.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,434.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,257.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,550.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,796.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,548.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,695.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,652.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,338.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,593.00,30,
SANTA MARIA,PULONG BUHANGIN,,,1,990.00,30,
SANTA MARIA,SILANGAN,NORZAGARAY-STA MARIA ROAD,,1,429.00,30,
,,,Total,46,26586,,
