City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MANDALUYONG CITY,ADDITION HILLS,MANDALUYONG CITY TOWED VEHICLE,,1,173.00,30,
MANDALUYONG CITY,ADDITION HILLS,MANDALUYONG CITY TOWED VEHICLE,,1,264.00,30,
MANDALUYONG CITY,ADDITION HILLS,MANDALUYONG CITY TOWED VEHICLE,,1,3208.00,30,
MANDALUYONG CITY,BARANGKA DRIVE,BARANGKA DRIVE BARANGAY HALL,,1,545.00,30,
MANDALUYONG CITY,BARANGKA DRIVE,BARANGKA DRIVE BARANGAY HALL,,1,221.00,30,
MANDALUYONG CITY,BARANGKA DRIVE,BUSILAK,,1,366.00,30,
MANDALUYONG CITY,BARANGKA DRIVE,BUSILAK,,1,770.00,30,
MANDALUYONG CITY,BARANGKA IBABA,AGUDO,,1,564.00,30,
MANDALUYONG CITY,BARANGKA IBABA,BARANGKA IBABA BARANGAY HALL,,1,244.00,30,
MANDALUYONG CITY,BARANGKA IBABA,CORONADO HEIGHTS SUBDIVISION,,1,242.00,30,
MANDALUYONG CITY,BARANGKA ILAYA,BARANGKA ILAYA BARANGAY HALL,,1,136.00,30,
MANDALUYONG CITY,BARANGKA ILAYA,BARANGKA ILAYA BARANGAY HALL,,1,374.00,30,
MANDALUYONG CITY,BARANGKA ILAYA,BARANGKA ILAYA INTEGRATED HIGH SCHOOL,,1,127.57,30,
MANDALUYONG CITY,BARANGKA ILAYA,DANSALAN,,1,189.00,30,
MANDALUYONG CITY,BARANGKA ILAYA,GATEWAY GARDEN RIDGE,,1,237.00,30,
MANDALUYONG CITY,BARANGKA ILAYA,PINES PEAK TOWER 2,,1,218.00,30,
MANDALUYONG CITY,BARANGKA ITAAS,BARANGKA ITAAS BARANGAY HALL,,1,475.71,30,
MANDALUYONG CITY,BARANGKA ITAAS,BARANGKA ITAAS BARANGAY HALL,,1,169.00,30,
MANDALUYONG CITY,BARANGKA ITAAS,BARANGKA ITAAS BARANGAY HALL,,1,699.00,30,
MANDALUYONG CITY,BARANGKA ITAAS,KAPOK,,1,344.00,30,
MANDALUYONG CITY,BARANGKA ITAAS,KAPOK,,1,295.00,30,
MANDALUYONG CITY,BARANGKA ITAAS,KAPOK,BARANGKA ITAAS BARANGAY HALL,1,441.00,30,
MANDALUYONG CITY,BARANGKA ITAAS,RENCOR REFRIGERATION INC.,,1,374.00,30,
MANDALUYONG CITY,HAGDANG BATO LIBIS,HAGDANG BATO ITAAS BARANGAY HALL,HAGDANG BATO TOWNHOMES,1,409.57,30,
MANDALUYONG CITY,HULO,CORONADO STREET,,1,227.57,30,
MANDALUYONG CITY,HULO,F. BLUMENTRITT STREET,,1,692.71,30,
MANDALUYONG CITY,HULO,HULO BARANGAY HALL,,1,487.29,30,
MANDALUYONG CITY,HULO,HULO BARANGAY HALL,,1,347.29,30,
MANDALUYONG CITY,HULO,LIVINGSTONE TOWER AT ACQUA PRIVATE RESIDENCES,,1,259.00,30,
MANDALUYONG CITY,HULO,LIVINGSTONE TOWER AT ACQUA PRIVATE RESIDENCES,,1,574.00,30,
MANDALUYONG CITY,HULO,LIVINGSTONE TOWER AT ACQUA PRIVATE RESIDENCES,,1,208.00,30,
MANDALUYONG CITY,HULO,SAN JOSE,,1,501.00,30,
MANDALUYONG CITY,MALAMIG,BASILAN,,1,438.57,30,
MANDALUYONG CITY,MALAMIG,CORDILLERA,,1,276.00,30,
MANDALUYONG CITY,MALAMIG,DANSALAN GARDENS CONDOMINIUMS,,1,729.00,30,
MANDALUYONG CITY,MALAMIG,DANSALAN GARDENS CONDOMINIUMS,,1,229.00,30,
MANDALUYONG CITY,MALAMIG,DANSALAN GARDENS CONDOMINIUMS,,1,210.00,30,
MANDALUYONG CITY,MALAMIG,DANSALAN GARDENS CONDOMINIUMS,DANSALAN GARDENS CONDOMINIUMS,1,408.57,30,
MANDALUYONG CITY,MALAMIG,HALCON,,1,296.00,30,
MANDALUYONG CITY,MALAMIG,HSI BUILDING,,1,84.00,30,
