City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
MAKATI CITY,CARMONA,ARPILLEDA,,1,397.00,30,
MAKATI CITY,CARMONA,CARMONA BARANGAY HALL,,1,433.00,30,
MAKATI CITY,CARMONA,E. PASCUA,,1,692.00,30,
MAKATI CITY,KASILAWAN,BJS BUILDING,,1,226.00,30,
MAKATI CITY,LA PAZ,ONYX,,1,558.00,30,
MAKATI CITY,OLYMPIA,BARANGAY OLYMPIA WET & DRY MARKET,,1,215.00,30,
MAKATI CITY,OLYMPIA,BARANGAY OLYMPIA WET & DRY MARKET,,1,292.00,30,
MAKATI CITY,OLYMPIA,BARANGAY OLYMPIA WET & DRY MARKET,,1,257.00,30,
MAKATI CITY,OLYMPIA,BARANGAY OLYMPIA WET & DRY MARKET,OLYMPIA VILLE,1,155.43,30,
MAKATI CITY,OLYMPIA,BARASOAIN,,1,227.00,30,
MAKATI CITY,OLYMPIA,BARASOAIN,,1,155.00,30,
MAKATI CITY,OLYMPIA,BARASOAIN,,1,271.00,30,
MAKATI CITY,OLYMPIA,FORTUNA,,1,443.00,30,
MAKATI CITY,OLYMPIA,KAKARONG,,1,262.00,30,
MAKATI CITY,OLYMPIA,NOVALICHES,,1,143.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,,1,272.86,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,,1,193.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,,1,319.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,,1,518.00,30,
MAKATI CITY,OLYMPIA,OLYMPIA VILLE,OLYMPIA VILLE,1,316.14,60,
MAKATI CITY,SAN LORENZO,GROUND FLOOR,,1,464.00,30,
MAKATI CITY,SAN LORENZO,STATE CONDO II,,1,533.00,30,
MAKATI CITY,SINGKAMAS,SINGKAMAS BARANGAY HALL,,1,327.00,30,
MANILA CITY,STA. ANA BARANGAY 767,STA. ANA BARANGAY 767 HALL,STA. ANA BARANGAY 767 HALL,1,324.00,30,
MANILA CITY,STA. ANA BARANGAY 772,STA. ANA BARANGAY 772 HALL,,1,491.00,30,
MANILA CITY,STA. ANA BARANGAY 773,ESTRADA,,1,403.29,30,
MANILA CITY,STA. ANA BARANGAY 779,ELORIAGA,,1,457.00,30,
MANILA CITY,STA. ANA BARANGAY 780,PASIG LINE,,1,533.00,30,
MANILA CITY,STA. ANA BARANGAY 783,HIWAGA,,1,288.29,60,
MANILA CITY,STA. ANA BARANGAY 866,PEDRO GIL STREET,,1,202.00,30,
MANILA CITY,STA. ANA BARANGAY 875,JOSE SYQUIA,,1,374.00,30,
MANILA CITY,STA. ANA BARANGAY 883,P. DOMINGO,,1,313.71,30,
MAKATI CITY,STA. CRUZ,YAGUE,,1,424.00,30,
MAKATI CITY,TEJEROS,MALOLOS,,1,433.00,30,
MAKATI CITY,TEJEROS,MASUKOL,,1,304.00,30,
MAKATI CITY,TEJEROS,MONTOJO,,1,341.00,30,
MAKATI CITY,TEJEROS,PAMILIHAN NG TEJEROS,,1,199.00,30,
MAKATI CITY,TEJEROS,PASONG TIRAD,,1,499.00,30,
MAKATI CITY,TEJEROS,STAR WORLD INTERNATIONAL MANPOWER,,1,94.00,30,
MAKATI CITY,TEJEROS,TELLA,,1,164.00,30,
Total,,,,40,13513.72,,
