,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,267,101623.93,380.61,,29,12831.16,442.45,,49,18913.86,386,,3,499.00,166.33,,185,69023.91,373.1,,0,0.00,0,,1,356.00,356,,
1,,183,65835.52,359.76,,26,9969.20,383.43,,21,8407.57,400.36,,2,729.00,364.5,,132,46028.75,348.7,,0,0.00,0,,2,701.00,350.5,,
2,,126,44819.51,355.71,,18,5637.15,313.18,,22,8830.08,401.37,,2,635.00,317.5,,84,29717.28,353.78,,0,0.00,0,,0,0.00,0,,
3,,83,27964.24,336.92,,5,2745.52,549.1,,20,6953.43,347.67,,0,0.00,0,,58,18265.29,314.92,,0,0.00,0,,0,0.00,0,,
4,,73,23214.59,318.01,,20,6249.72,312.49,,13,4071.72,313.21,,2,398.00,199,,38,12495.15,328.82,,0,0.00,0,,0,0.00,0,,
5,,86,26907.3,312.88,,20,6284.73,314.24,,13,4239.71,326.13,,0,0.00,0,,53,16382.86,309.11,,0,0.00,0,,0,0.00,0,,
6,,244,96721.69,396.4,,48,25003.27,520.9,,36,12333.43,342.6,,1,558.00,558,,159,58826.99,369.98,,0,0.00,0,,0,0.00,0,,
7,,524,207872.98,396.7,,93,35623.83,383.05,,70,26672.57,381.04,,2,393.00,196.5,,358,145024.58,405.1,,0,0.00,0,,1,159.00,159,,
8,,707,282052.1,398.94,,101,45822.85,453.69,,125,51540.97,412.33,,4,1122.00,280.5,,477,183566.28,384.83,,0,0.00,0,,0,0.00,0,,
9,,740,296489.22,400.66,,123,55777.78,453.48,,124,50395.44,406.41,,2,396.00,198,,491,189920.00,386.8,,0,0.00,0,,0,0.00,0,,
10,,1225,597728.44,487.94,,177,97480.71,550.74,,204,102325.87,501.6,,8,6428.00,803.5,,835,390650.86,467.85,,0,0.00,0,,1,843.00,843,,
11,,1417,664500.73,468.95,,199,105024.47,527.76,,239,108306.01,453.16,,5,3499.00,699.8,,967,445303.25,460.5,,0,0.00,0,,7,2368.00,338.29,,
12,,639,271269.25,424.52,,101,44416.27,439.77,,99,45136.13,455.92,,2,486.00,243,,437,181230.85,414.72,,0,0.00,0,,0,0.00,0,,
13,,3,5225,1741.67,,1,4680.00,4680,,1,398.00,398,,0,0.00,0,,1,147.00,147,,0,0.00,0,,0,0.00,0,,
14,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
15,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
16,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
17,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
18,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,6317,2712224.5,429.35,,961,457546.66,476.12,,1036,448524.79,432.94,,33,15143,458.88,,4275,1786583.05,417.91,,0,0,0,,12,4427,368.92,,
