,,4-2021 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
005,DAU,1,204.00,138.39,
009,GREENBELT,31,12063.57,9757.15,
014,ALABANG,314,129412.83,104570.58,
018,MCS,211,86989.17,70429.21,
025,LA SALLE TAFT,293,113991.14,92582.22,
026,COMMONWEALTH,3,816.43,721.43,
028,LAS PINAS,322,130409.34,107440.59,
029,KATIPUNAN,176,68379.99,55766.06,
034,GOVERNOR FORBES,437,163983.95,135754.94,
035,TARLAC ROMULO,1,276.00,202.68,
037,MARCOS HIGHWAY,158,56520.94,46916.67,
038,BACOLOD LACSON,1,798.00,668.75,
040,RETIRO,3,635.00,435.71,
048,CEBU JONES,22,8010.00,6249.33,
061,ANTIPOLO,7,2408.00,1843.75,
063,ANONAS,1,292.00,216.96,
077,BALIUAG,1,203.00,137.50,
087,CAVITE FELIPE,2,1208.00,991.07,
092,SAN PEDRO,510,193089.11,156304.97,
094,TARLAC HI-WAY,1,294.00,218.75,
108,ANGELES,1,240.00,170.54,
116,METROLANE,8,2241.00,1650.89,
128,GUADALUPE MALL,361,136058.29,110205.57,
129,BOCAUE,3,1213.00,998.22,
138,GEN LUNA,141,57808.38,47301.35,
140,JP RIZAL,374,143626.90,117313.08,
144,VISAYAS AVENUE,144,51180.99,42590.16,
149,SAN JOAQUIN,599,219550.30,177568.56,
164,MUNTINLUPA,7,2185.29,1719.65,
169,PATEROS BAYAN,5,1913.00,1489.29,
172,KABIHASNAN,281,101658.72,81589.34,
174,WEST AVENUE,1,545.00,442.86,
178,PACO,230,92741.54,76893.75,
181,RFC MOLINO,192,72422.97,59279.45,
186,BANAUE,3,466.29,399.12,
187,EDSA ROTONDA,265,109012.95,89717.89,
190,BARANGKA,708,254448.20,210861.82,
193,MATALINO,305,107857.78,89152.59,
195,PROJECT 8,241,87166.01,72704.47,
200,TOMAS MORATO,210,80380.37,67616.96,
203,TANZA,1,422.00,333.04,
206,MAKATI AVE,148,60486.98,48977.71,
209,MUNOZ,245,92707.50,77238.32,
211,CABUYAO,2,824.00,648.22,
218,EDSA PANAY,49,16798.16,13867.74,
